PRN_id,n,MF,AC_peak_dB,XCorr_max_dB,type
Weil1,10230,0.590,0.0,-31.19,Weil
Weil2,10230,0.589,0.0,-31.44,Weil
Weil3,10230,0.595,0.0,-30.71,Weil
Weil4,10230,0.583,0.0,-30.95,Weil
Weil5,10230,0.533,0.0,-30.15,Weil
Weil6,10230,0.555,0.0,-29.52,Weil
Weil7,10230,0.563,0.0,-30.48,Weil
Weil8,10230,0.576,0.0,-31.07,Weil
Weil9,10230,0.555,0.0,-31.07,Weil
Weil10,10230,0.563,0.0,-30.71,Weil
Gold1,1023,0.570,0.0,-23.94,Gold
Gold2,1023,0.483,0.0,-23.94,Gold
Gold3,1023,0.515,0.0,-23.94,Gold
Gold4,1023,0.532,0.0,-23.94,Gold
Gold5,1023,0.399,0.0,-23.94,Gold
Gold6,1023,0.499,0.0,-23.94,Gold
Gold7,1023,0.443,0.0,-23.94,Gold
Gold8,1023,0.456,0.0,-23.94,Gold
Gold9,1023,0.638,0.0,-23.94,Gold
Gold10,1023,0.515,0.0,-23.94,Gold
EM1,10230,0.511,0.0,-28.83,ExtendedMemory
EM2,10230,0.509,0.0,-29.22,ExtendedMemory
EM3,10230,0.504,0.0,-29.12,ExtendedMemory
EM4,10230,0.513,0.0,-26.46,ExtendedMemory
EM5,10230,0.507,0.0,-28.93,ExtendedMemory
EM6,10230,0.503,0.0,-28.83,ExtendedMemory
EM7,10230,0.496,0.0,-29.22,ExtendedMemory
EM8,10230,0.507,0.0,-28.74,ExtendedMemory
EM9,10230,0.489,0.0,-28.65,ExtendedMemory
EM10,10230,0.521,0.0,-28.56,ExtendedMemory

summary,weil_xcorr_max_dB,-28.03,gold_xcorr_max_dB,-23.94,em_xcorr_max_dB=-25.49
