time_h,n_sats_mean,n_leo_mean,n_glonass_mean,pdop_mean,pdop_p95,coverage_4sats_pct,coverage_good_pdop_pct
0.0,21.92,13.6,8.32,1.271,1.787,100.0,100.0
0.1667,21.97,13.63,8.34,1.262,1.702,100.0,100.0
0.3333,22.36,14.07,8.29,1.242,1.662,100.0,100.0
0.5,22.35,14.05,8.3,1.224,1.671,100.0,100.0
0.6667,22.39,14.08,8.31,1.212,1.678,100.0,100.0
0.8333,22.01,13.67,8.34,1.219,1.666,100.0,100.0
1.0,22.0,13.69,8.31,1.238,1.627,100.0,100.0
1.1667,22.39,14.08,8.3,1.248,1.651,100.0,100.0
1.3333,22.32,14.01,8.3,1.267,1.657,100.0,100.0
1.5,22.37,14.06,8.31,1.258,1.641,100.0,100.0
1.6667,21.95,13.63,8.32,1.254,1.637,100.0,100.0
1.8333,21.92,13.62,8.31,1.235,1.652,100.0,100.0
2.0,22.21,13.87,8.34,1.213,1.665,100.0,100.0
2.1667,22.37,14.05,8.32,1.211,1.673,100.0,100.0
2.3333,22.33,14.04,8.29,1.227,1.66,100.0,100.0
2.5,22.18,13.88,8.29,1.245,1.646,100.0,100.0
2.6667,21.96,13.66,8.3,1.268,1.733,100.0,100.0
2.8333,22.0,13.69,8.31,1.272,1.775,100.0,100.0
3.0,22.39,14.07,8.32,1.254,1.656,100.0,100.0
3.1667,22.33,14.02,8.32,1.241,1.669,100.0,100.0
3.3333,22.39,14.08,8.31,1.218,1.659,100.0,100.0
3.5,22.1,13.63,8.47,1.205,1.661,100.0,100.0
3.6667,21.99,13.63,8.35,1.217,1.658,100.0,100.0
3.8333,22.41,14.08,8.33,1.229,1.646,100.0,100.0
4.0,22.35,14.06,8.29,1.254,1.662,100.0,100.0
4.1667,22.36,14.05,8.31,1.264,1.645,100.0,100.0
4.3333,21.99,13.69,8.31,1.271,1.737,100.0,100.0
4.5,21.95,13.66,8.29,1.26,1.677,100.0,100.0
4.6667,21.98,13.68,8.3,1.236,1.656,100.0,100.0
4.8333,22.39,14.06,8.33,1.211,1.637,100.0,100.0
5.0,22.38,14.04,8.33,1.211,1.642,100.0,100.0
5.1667,22.38,14.08,8.3,1.227,1.651,100.0,100.0
5.3333,21.95,13.65,8.3,1.253,1.665,100.0,100.0
5.5,21.94,13.63,8.31,1.268,1.74,100.0,100.0
5.6667,22.39,14.08,8.31,1.258,1.639,100.0,100.0
5.8333,22.37,14.04,8.33,1.254,1.654,100.0,100.0
6.0,22.38,14.05,8.33,1.236,1.666,100.0,100.0
6.1667,22.03,13.68,8.35,1.22,1.665,100.0,100.0
6.3333,22.12,13.66,8.47,1.205,1.688,100.0,100.0
6.5,22.21,13.87,8.34,1.22,1.684,100.0,100.0
6.6667,22.37,14.05,8.32,1.238,1.648,100.0,100.0
6.8333,22.37,14.05,8.31,1.253,1.646,100.0,100.0
7.0,22.16,13.87,8.3,1.266,1.754,100.0,100.0
7.1667,21.92,13.62,8.29,1.271,1.746,100.0,100.0
7.3333,21.93,13.63,8.3,1.251,1.652,100.0,100.0
7.5,22.37,14.07,8.3,1.229,1.683,100.0,100.0
7.6667,22.34,14.01,8.32,1.214,1.649,100.0,100.0
7.8333,22.4,14.08,8.32,1.213,1.678,100.0,100.0
8.0,21.98,13.68,8.3,1.235,1.657,100.0,100.0
8.1667,21.96,13.68,8.29,1.256,1.667,100.0,100.0
8.3333,22.19,13.88,8.31,1.264,1.72,100.0,100.0
8.5,22.36,14.06,8.3,1.264,1.665,100.0,100.0
8.6667,22.36,14.06,8.31,1.251,1.648,100.0,100.0
8.8333,21.98,13.64,8.34,1.236,1.635,100.0,100.0
9.0,21.96,13.61,8.35,1.22,1.666,100.0,100.0
9.1667,22.1,13.63,8.47,1.204,1.693,100.0,100.0
9.3333,22.4,14.07,8.32,1.219,1.662,100.0,100.0
9.5,22.35,14.03,8.32,1.239,1.674,100.0,100.0
9.6667,22.39,14.07,8.32,1.253,1.64,100.0,100.0
