n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,n_leo_mean,n_glonass_mean,time_s,time_h
2701,100.0,100.0,10,36,21.92,0.786,2.082,1.271,1.787,1.564,2.17,13.6,8.32,0.0,0.0
2701,100.0,100.0,11,36,21.97,0.767,2.181,1.262,1.702,1.551,2.062,13.63,8.34,600.0,0.1667
2701,100.0,100.0,11,39,22.36,0.808,2.267,1.242,1.662,1.528,2.045,14.07,8.29,1200.0,0.3333
2701,100.0,100.0,11,39,22.35,0.793,2.185,1.224,1.671,1.506,2.059,14.05,8.3,1800.0,0.5
2701,100.0,100.0,10,39,22.39,0.807,2.203,1.212,1.678,1.49,2.064,14.08,8.31,2400.0,0.6667
2701,100.0,100.0,11,37,22.01,0.799,2.231,1.219,1.666,1.499,2.05,13.67,8.34,3000.0,0.8333
2701,100.0,100.0,10,37,22.0,0.782,2.839,1.238,1.627,1.522,2.01,13.69,8.31,3600.0,1.0
2701,100.0,100.0,11,39,22.39,0.792,2.09,1.248,1.651,1.535,2.047,14.08,8.3,4200.0,1.1667
2701,100.0,100.0,10,39,22.32,0.769,2.141,1.267,1.657,1.559,2.062,14.01,8.3,4800.0,1.3333
2701,100.0,100.0,11,39,22.37,0.754,2.034,1.258,1.641,1.547,2.053,14.06,8.31,5400.0,1.5
2701,100.0,100.0,10,37,21.95,0.796,2.223,1.254,1.637,1.542,2.025,13.63,8.32,6000.0,1.6667
2701,100.0,100.0,11,36,21.92,0.788,2.39,1.235,1.652,1.52,2.025,13.62,8.31,6600.0,1.8333
2701,100.0,100.0,11,39,22.21,0.8,2.266,1.213,1.665,1.491,2.044,13.87,8.34,7200.0,2.0
2701,100.0,100.0,11,39,22.37,0.815,2.289,1.211,1.673,1.49,2.049,14.05,8.32,7800.0,2.1667
2701,100.0,100.0,11,39,22.33,0.78,2.17,1.227,1.66,1.51,2.039,14.04,8.29,8400.0,2.3333
2701,100.0,100.0,11,39,22.18,0.785,2.154,1.245,1.646,1.532,2.028,13.88,8.29,9000.0,2.5
2701,100.0,100.0,11,36,21.96,0.754,2.114,1.268,1.733,1.559,2.097,13.66,8.3,9600.0,2.6667
2701,100.0,100.0,11,37,22.0,0.75,2.036,1.272,1.775,1.565,2.153,13.69,8.31,10200.0,2.8333
2701,100.0,100.0,10,39,22.39,0.753,2.141,1.254,1.656,1.542,2.031,14.07,8.32,10800.0,3.0
2701,100.0,100.0,12,39,22.33,0.792,2.059,1.241,1.669,1.526,2.046,14.02,8.32,11400.0,3.1667
2701,100.0,100.0,10,39,22.39,0.792,2.053,1.218,1.659,1.499,2.031,14.08,8.31,12000.0,3.3333
2701,100.0,100.0,11,38,22.1,0.801,2.778,1.205,1.661,1.48,2.039,13.63,8.47,12600.0,3.5
2701,100.0,100.0,10,38,21.99,0.804,2.316,1.217,1.658,1.496,2.03,13.63,8.35,13200.0,3.6667
2701,100.0,100.0,11,39,22.41,0.769,2.063,1.229,1.646,1.511,2.025,14.08,8.33,13800.0,3.8333
2701,100.0,100.0,11,39,22.35,0.797,2.292,1.254,1.662,1.543,2.041,14.06,8.29,14400.0,4.0
