параметр,значение,ед.
Компонента LCC: NRE,120.0,$M
Компонента LCC: Серия (300 КА),408.9,$M
Компонента LCC: Запуски,300.0,$M
Компонента LCC: Наземный сегмент,80.0,$M
Компонента LCC: OPEX x7 лет,280.0,$M
LCC всего (7 лет),1188.9,$M
LCC всего (15 лет),1508.9,$M
LCC 7 лет (справ.),107.00,млрд ₽
Серия 300 КА (повтор.),408.9,$M
Стоимость на 1 КА (7 лет),3.96,$M
Стоимость в год (7 лет),169.8,$M/год

Допущение,значение,ед.
NRE_design_qual_Musd,120.0,
recurring_T1_Musd,4.0,
learning_b,0.85,
n_launches,25,
launch_cost_per_Musd,12.0,
ground_capex_Musd,80.0,
opex_per_year_Musd,40.0,
