altitude_km,eclipse_min_worst,eclipse_fraction_pct,period_min,orbits_per_day
400,36.0,39.0,92.41,15.58
450,35.9,38.4,93.44,15.41
500,35.7,37.8,94.47,15.24
550,35.6,37.2,95.50,15.08
600,35.4,36.7,96.54,14.92
650,35.3,36.2,97.58,14.76
700,35.2,35.7,98.62,14.60
750,35.1,35.3,99.67,14.45
800,35.1,34.8,100.72,14.30
850,35.0,34.4,101.78,14.15
900,35.0,34.0,102.84,14.00
950,34.9,33.6,103.90,13.86
1000,34.9,33.2,104.97,13.72
1050,34.8,32.9,106.04,13.58
1100,34.8,32.5,107.11,13.44
1150,34.8,32.2,108.19,13.31
1200,34.8,31.8,109.27,13.18
1250,34.8,31.5,110.35,13.05
1300,34.8,31.2,111.44,12.92
1350,34.8,30.9,112.53,12.80
1400,34.8,30.6,113.63,12.67
1450,34.8,30.3,114.72,12.55
1500,34.8,30.0,115.83,12.43
