n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
2701,73.2,44.17,0,10,4.82,1.623,660635.627,9064.578,17277.967,9804.587,19044.685,0.0,0.0
2701,72.49,42.76,0,10,4.81,1.488,11974.018,68.423,113.299,75.204,119.983,600.0,0.1667
2701,71.27,42.8,0,11,4.79,1.428,2682.603,34.97,98.233,37.345,114.562,1200.0,0.3333
2701,70.46,42.24,0,11,4.79,1.526,4599.817,42.775,151.891,45.641,166.737,1800.0,0.5
2701,71.75,45.06,0,10,4.78,1.538,3606.923,59.688,173.574,65.619,202.172,2400.0,0.6667
2701,71.16,44.13,0,10,4.78,1.546,92849.649,472.802,452.382,506.724,487.23,3000.0,0.8333
2701,71.71,44.13,0,10,4.78,1.521,4060.334,56.58,250.14,61.993,273.611,3600.0,1.0
2701,71.27,42.98,0,11,4.81,1.526,1765.207,34.021,147.733,36.749,162.954,4200.0,1.1667
2701,71.83,42.17,0,10,4.79,1.431,1440.945,30.754,101.342,32.945,117.873,4800.0,1.3333
2701,72.01,42.47,0,10,4.82,1.481,8184.077,55.396,109.307,60.68,115.826,5400.0,1.5
2701,72.31,43.69,0,10,4.83,1.617,8838.867,158.003,728.196,169.96,781.073,6000.0,1.6667
2701,72.45,42.65,0,10,4.81,1.469,37808.75,224.441,103.472,246.893,110.767,6600.0,1.8333
2701,70.6,42.13,0,11,4.78,1.424,184715.903,607.808,92.465,642.118,103.595,7200.0,2.0
2701,69.31,41.8,0,11,4.77,1.527,6291.8,44.536,132.69,47.287,145.96,7800.0,2.1667
2701,71.31,45.02,0,10,4.78,1.542,22179.214,123.558,162.325,137.978,190.713,8400.0,2.3333
2701,70.83,43.24,0,10,4.78,1.54,32391.582,192.401,365.068,203.187,395.972,9000.0,2.5
2701,71.34,44.54,0,10,4.77,1.518,4420.349,71.219,240.383,78.008,261.687,9600.0,2.6667
2701,70.68,42.1,0,11,4.78,1.528,1126.601,32.323,119.945,34.946,130.306,10200.0,2.8333
2701,71.42,42.17,0,11,4.78,1.404,1082.256,30.174,122.023,32.38,125.954,10800.0,3.0
2701,71.68,42.21,0,10,4.81,1.49,5388.498,59.285,105.416,64.937,110.468,11400.0,3.1667
2701,71.42,42.8,0,10,4.82,1.582,7460.563,124.366,689.718,133.308,729.09,12000.0,3.3333
2701,72.6,42.35,0,10,4.8,1.463,36827.901,149.958,109.597,166.744,115.74,12600.0,3.5
2701,71.2,42.21,0,11,4.78,1.422,2501.629,31.23,78.594,33.58,87.973,13200.0,3.6667
2701,69.57,42.5,0,11,4.79,1.543,1755.331,30.989,139.922,33.425,164.969,13800.0,3.8333
2701,72.01,44.87,0,10,4.78,1.553,66318.23,286.908,201.998,338.133,232.672,14400.0,4.0
2701,71.57,43.21,0,10,4.79,1.52,10028.887,76.719,266.588,83.311,299.29,15000.0,4.1667
2701,71.12,44.35,0,10,4.77,1.516,4857.142,71.053,224.506,77.542,249.442,15600.0,4.3333
2701,71.79,42.87,0,11,4.8,1.433,1013.4,29.943,114.845,32.537,134.703,16200.0,4.5
2701,70.71,42.24,0,11,4.78,1.411,1021.189,27.293,103.381,29.57,114.551,16800.0,4.6667
2701,72.53,42.39,0,10,4.83,1.499,3954.93,44.926,108.42,48.904,111.883,17400.0,4.8333
2701,70.68,42.65,0,10,4.83,1.59,9922.865,105.524,509.309,112.971,540.487,18000.0,5.0
2701,70.9,42.35,0,10,4.78,1.458,12912.75,95.004,152.285,103.995,160.277,18600.0,5.1667
2701,71.68,41.69,0,10,4.79,1.421,1419.667,26.899,70.532,29.101,82.099,19200.0,5.3333
2701,70.38,43.17,0,11,4.82,1.545,3847.698,37.983,133.435,41.334,157.304,19800.0,5.5
2701,70.83,43.54,0,10,4.76,1.545,2886.746,54.244,168.93,61.179,189.96,20400.0,5.6667
2701,71.01,43.65,0,10,4.78,1.515,8879.625,75.758,246.1,82.992,271.943,21000.0,5.8333
2701,71.12,43.8,0,10,4.77,1.431,5397.78,57.327,216.019,62.223,224.222,21600.0,6.0
2701,71.53,42.65,0,10,4.78,1.436,1008.587,29.297,116.578,31.978,126.373,22200.0,6.1667
2701,71.01,42.95,0,10,4.78,1.459,2300.483,35.963,84.243,39.266,96.96,22800.0,6.3333
2701,72.08,42.5,0,10,4.83,1.509,38224.864,169.976,109.74,193.64,113.248,23400.0,6.5
2701,70.01,42.72,0,10,4.82,1.57,11337.804,100.082,377.15,107.114,400.37,24000.0,6.6667
2701,71.27,42.65,0,10,4.79,1.453,8027.657,61.252,175.311,67.229,181.453,24600.0,6.8333
2701,71.68,41.39,0,10,4.79,1.433,1508.284,25.78,68.876,27.939,80.215,25200.0,7.0
2701,71.12,43.91,0,11,4.82,1.566,742.46,25.903,127.533,28.043,150.325,25800.0,7.1667
2701,71.42,43.28,0,10,4.76,1.524,7654.43,64.408,163.917,70.848,177.493,26400.0,7.3333
2701,72.08,43.76,0,10,4.78,1.511,11738.684,131.864,222.312,149.739,239.97,27000.0,7.5
2701,71.42,43.76,0,10,4.77,1.431,6083.731,56.289,146.329,60.961,167.738,27600.0,7.6667
2701,71.79,43.69,0,10,4.78,1.44,11826.287,62.603,93.834,68.565,108.924,28200.0,7.8333
2701,70.9,43.39,0,10,4.8,1.467,3139.093,33.467,88.238,36.594,99.691,28800.0,8.0
2701,71.64,41.76,0,10,4.81,1.577,17652.748,84.811,110.999,95.397,114.556,29400.0,8.1667
2701,69.71,42.65,0,10,4.82,1.479,9704.686,94.988,332.729,101.579,352.986,30000.0,8.3333
2701,71.23,42.8,0,10,4.81,1.45,5928.352,58.198,173.502,63.679,177.478,30600.0,8.5
2701,72.64,41.02,0,11,4.81,1.433,3004.476,36.57,84.488,39.674,98.954,31200.0,8.6667
2701,70.94,43.61,0,11,4.8,1.544,1579.685,28.468,122.35,30.906,143.947,31800.0,8.8333
2701,72.08,43.13,0,10,4.78,1.517,8230.847,63.181,148.848,69.241,163.559,32400.0,9.0
2701,72.97,44.58,0,11,4.79,1.435,23427.242,224.991,191.8,255.048,212.327,33000.0,9.1667
2701,70.97,44.43,0,11,4.79,1.418,2258.42,41.596,122.908,46.702,138.363,33600.0,9.3333
2701,71.71,43.24,0,10,4.77,1.445,999.004,27.841,129.736,30.416,150.838,34200.0,9.5
2701,70.53,43.91,0,10,4.82,1.476,859.485,23.259,91.311,25.274,102.625,34800.0,9.6667
2701,71.57,41.61,0,10,4.81,1.573,11240.86,63.51,102.235,70.857,110.68,35400.0,9.8333
2701,69.6,43.24,0,10,4.81,1.481,6595.269,95.415,298.65,101.658,322.148,36000.0,10.0
2701,70.64,42.32,0,10,4.81,1.447,5345.011,74.559,181.45,80.768,187.702,36600.0,10.1667
2701,72.27,40.95,0,11,4.81,1.523,1706.422,30.03,80.047,32.695,87.1,37200.0,10.3333
2701,70.57,43.17,0,10,4.8,1.534,801.851,25.321,117.382,27.464,138.086,37800.0,10.5
2701,71.75,43.84,0,10,4.79,1.51,1509.839,39.84,178.203,44.096,192.034,38400.0,10.6667
2701,73.49,44.58,0,11,4.79,1.433,40471.511,197.006,231.565,207.155,241.733,39000.0,10.8333
2701,71.46,44.13,0,11,4.79,1.434,10277.733,86.318,135.852,99.491,156.264,39600.0,11.0
2701,72.08,43.5,0,10,4.78,1.512,6817.133,50.145,136.259,53.513,159.158,40200.0,11.1667
2701,70.75,43.76,0,10,4.84,1.485,855.799,23.78,94.757,25.83,103.28,40800.0,11.3333
2701,71.49,41.02,0,10,4.8,1.57,8116.323,52.381,91.295,58.111,98.766,41400.0,11.5
2701,70.83,42.58,0,10,4.82,1.473,11876.583,123.629,316.746,130.742,330.686,42000.0,11.6667
2701,69.75,41.39,0,10,4.8,1.457,25018.83,136.54,169.838,147.052,179.268,42600.0,11.8333
2701,71.86,41.17,0,11,4.84,1.499,965.986,25.454,89.216,27.495,97.156,43200.0,12.0
2701,71.57,43.17,0,10,4.8,1.525,1751.239,30.463,123.216,32.669,132.724,43800.0,12.1667
2701,72.68,43.76,0,10,4.82,1.441,1500.575,43.2,186.075,47.552,200.096,44400.0,12.3333
2701,73.16,44.98,0,10,4.79,1.418,22021.703,124.478,221.634,131.376,235.885,45000.0,12.5
2701,71.46,43.84,0,10,4.8,1.437,4784.95,58.62,159.527,66.591,184.552,45600.0,12.6667
2701,72.12,44.17,0,10,4.77,1.519,1775.807,35.398,143.0,38.608,165.123,46200.0,12.8333
2701,70.71,43.76,0,11,4.83,1.496,1326.392,24.089,93.079,26.242,104.719,46800.0,13.0
2701,71.9,41.1,0,10,4.8,1.444,6269.353,46.772,89.759,51.38,100.244,47400.0,13.1667
2701,71.46,42.43,0,10,4.81,1.476,5178.892,86.284,231.325,92.539,244.393,48000.0,13.3333
2701,71.01,42.13,0,10,4.81,1.581,8511.325,71.764,166.37,78.422,172.138,48600.0,13.5
2701,71.6,41.69,0,10,4.83,1.489,1042.635,23.436,93.991,25.483,98.321,49200.0,13.6667
2701,71.38,42.21,0,10,4.78,1.517,2172.489,29.949,108.767,32.495,119.765,49800.0,13.8333
2701,71.42,43.24,0,10,4.81,1.437,3558.793,53.872,181.627,59.366,196.585,50400.0,14.0
2701,73.2,45.06,0,10,4.81,1.432,15141.794,124.266,219.513,132.786,257.559,51000.0,14.1667
2701,71.2,43.39,0,10,4.81,1.509,2627.631,52.355,194.248,57.672,223.968,51600.0,14.3333
2701,71.83,43.98,0,10,4.78,1.527,1576.929,32.071,150.153,35.24,172.743,52200.0,14.5
2701,70.49,44.13,0,11,4.81,1.506,724.995,20.909,95.275,22.751,107.54,52800.0,14.6667
2701,71.46,41.02,0,10,4.8,1.445,5051.116,41.969,106.937,45.867,107.876,53400.0,14.8333
2701,71.46,41.98,0,10,4.82,1.48,4389.098,66.081,210.754,71.175,216.564,54000.0,15.0
