station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,12
Zheleznogorsk,0.0,23.8333,1431.0,12
Khabarovsk,0.0,23.8333,1431.0,14
Murmansk,0.0,23.8333,1431.0,7
Novosibirsk,0.0,23.8333,1431.0,12
Vladivostok,0.0,23.8333,1431.0,14
Yakutsk,0.0,23.8333,1431.0,11
Minsk,0.0,23.8333,1431.0,13
Almaty,0.0,23.8333,1431.0,14
Urumqi,0.0,23.8333,1431.0,14
Delhi,0.0,23.8333,1431.0,11
Yangon,0.0,23.8333,1431.0,10
Jakarta,0.0,23.8333,1431.0,10
Tehran,0.0,23.8333,1431.0,14
Johannesburg,0.0,23.8333,1431.0,10
Nairobi,0.0,23.8333,1431.0,10
Luanda,0.0,23.8333,1431.0,9
Havana,0.0,23.8333,1431.0,10
Caracas,0.0,23.8333,1431.0,10
Buenos_Aires,0.0,23.8333,1431.0,14
