time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
0.0,0.0,10,9,11,6,12,11,8,11,12,11,8,5,6,11,8,9,6,8,8,13
600.0,0.1667,11,10,12,5,11,12,8,12,11,14,8,6,7,11,8,8,6,6,6,12
1200.0,0.3333,11,10,11,4,11,12,8,11,12,13,9,6,6,14,9,6,6,9,7,10
1800.0,0.5,10,11,11,5,10,12,9,10,11,14,8,7,6,12,10,6,8,9,6,12
2400.0,0.6667,10,11,12,5,10,11,9,11,13,13,8,10,6,10,9,4,8,8,6,13
3000.0,0.8333,12,10,11,6,10,12,10,12,13,13,10,8,7,11,7,6,7,7,8,11
3600.0,1.0,11,12,12,6,12,13,8,11,12,12,8,8,7,13,8,6,6,7,7,10
4200.0,1.1667,11,10,13,6,10,11,8,12,12,11,8,10,8,11,8,5,7,7,7,10
4800.0,1.3333,10,11,12,5,11,12,7,11,12,11,7,7,9,12,7,6,7,7,8,13
5400.0,1.5,9,11,13,5,10,12,8,11,11,11,8,6,7,9,8,6,7,7,7,12
6000.0,1.6667,10,10,13,5,11,11,7,11,13,11,9,6,6,10,10,8,7,8,6,12
6600.0,1.8333,10,10,12,5,11,13,9,10,13,13,9,5,7,13,10,8,7,8,6,10
7200.0,2.0,11,10,13,7,11,14,9,10,10,13,9,6,5,12,8,7,7,6,7,12
7800.0,2.1667,11,11,12,6,10,11,9,11,11,11,10,7,7,9,7,8,8,8,7,11
8400.0,2.3333,10,11,11,7,11,11,9,10,12,12,10,6,7,10,6,10,8,8,7,11
9000.0,2.5,11,10,12,7,10,11,9,12,11,12,8,6,6,11,7,6,6,8,6,11
9600.0,2.6667,11,10,11,5,12,10,8,10,12,12,8,7,6,13,9,5,7,9,8,10
10200.0,2.8333,11,11,10,3,10,12,8,9,13,13,7,8,8,12,10,4,6,9,7,12
10800.0,3.0,10,11,13,5,9,13,10,11,13,12,8,7,7,10,9,4,7,8,6,12
11400.0,3.1667,11,10,11,5,11,13,9,11,14,11,10,7,6,12,9,6,7,8,6,13
12000.0,3.3333,10,10,11,6,11,14,9,10,14,12,9,8,7,14,7,9,8,8,6,10
12600.0,3.5,11,10,13,6,11,14,9,12,13,11,7,9,7,11,8,7,8,6,7,8
13200.0,3.6667,10,9,11,5,12,13,9,12,11,11,9,8,6,9,8,7,6,7,10,11
13800.0,3.8333,10,11,11,6,11,11,8,11,11,12,8,4,6,10,9,8,6,8,8,13
14400.0,4.0,10,9,12,5,10,11,7,11,11,13,10,5,7,12,8,8,6,7,7,12
15000.0,4.1667,11,10,11,5,11,13,8,10,12,14,10,6,6,14,9,6,6,7,5,10
15600.0,4.3333,11,11,12,6,10,12,9,11,11,14,8,8,5,12,10,6,7,8,6,12
16200.0,4.5,11,10,13,5,10,11,11,11,12,13,9,10,6,10,9,6,9,7,6,13
16800.0,4.6667,11,10,11,6,10,11,11,12,13,12,9,8,7,10,6,6,7,7,8,11
17400.0,4.8333,11,11,13,6,11,13,9,12,11,12,8,8,7,12,8,5,5,8,7,8
18000.0,5.0,11,10,13,6,11,11,8,12,12,11,8,9,9,12,8,4,6,8,6,10
18600.0,5.1667,11,11,12,5,11,12,8,10,12,13,7,8,10,11,9,6,7,9,6,13
19200.0,5.3333,10,11,13,3,10,12,8,11,11,11,8,7,7,9,9,6,6,7,6,12
19800.0,5.5,10,9,12,5,11,12,8,11,13,11,9,6,7,10,9,9,8,8,7,12
20400.0,5.6667,11,10,11,7,11,14,9,9,13,13,9,5,6,13,9,9,7,8,6,10
21000.0,5.8333,10,11,12,7,9,14,9,10,11,12,8,6,5,13,8,8,7,6,7,11
21600.0,6.0,11,12,11,6,10,12,9,11,12,12,9,7,6,9,7,8,7,8,7,11
22200.0,6.1667,10,10,11,7,12,12,9,11,11,12,9,6,7,10,7,9,7,8,7,10
22800.0,6.3333,11,10,12,7,12,11,8,13,11,12,8,6,6,11,7,6,6,8,6,12
23400.0,6.5,11,10,11,5,11,10,8,11,12,13,9,7,6,13,9,5,6,9,8,10
24000.0,6.6667,11,11,11,4,11,12,8,9,13,14,7,8,7,12,10,4,6,8,7,12
24600.0,6.8333,10,11,13,5,11,12,9,11,13,13,9,8,7,10,8,4,7,8,7,12
25200.0,7.0,11,10,11,6,11,13,10,11,14,12,10,8,6,12,9,6,7,8,7,12
25800.0,7.1667,11,11,12,6,11,14,9,11,13,11,8,8,7,14,8,9,8,7,6,10
26400.0,7.3333,10,11,14,6,11,13,9,12,14,10,7,10,7,11,8,7,8,8,7,10
27000.0,7.5,10,11,12,5,12,12,7,12,12,11,8,8,7,11,7,6,6,7,9,11
27600.0,7.6667,9,11,13,6,10,11,8,12,11,11,8,6,7,9,9,8,7,8,8,13
28200.0,7.8333,10,10,12,4,11,11,7,11,13,12,11,4,7,12,9,8,6,8,6,12
28800.0,8.0,11,10,11,5,11,13,8,10,12,14,10,6,7,14,9,6,5,7,6,10
29400.0,8.1667,11,10,13,6,10,13,9,10,10,13,9,9,6,13,9,6,7,7,6,12
30000.0,8.3333,12,11,12,5,10,10,10,11,12,11,8,10,7,9,8,8,9,7,7,11
30600.0,8.5,10,11,11,6,11,12,10,11,13,12,9,8,7,10,6,6,7,8,6,11
31200.0,8.6667,10,10,12,6,11,13,9,11,11,12,8,8,6,11,7,5,5,8,6,9
31800.0,8.8333,11,10,13,5,11,11,8,11,12,12,7,8,9,12,8,4,6,8,7,9
32400.0,9.0,11,11,12,4,10,12,8,10,13,13,7,8,9,11,9,5,6,9,6,12
33000.0,9.1667,10,11,13,3,9,13,9,11,13,11,8,7,8,10,9,6,6,8,6,12
33600.0,9.3333,10,10,12,6,11,13,9,11,14,11,10,6,6,12,9,9,8,8,7,10
34200.0,9.5,10,10,11,7,11,14,9,9,14,12,9,6,7,14,9,10,8,8,6,9
34800.0,9.6667,10,11,13,7,10,14,9,12,14,12,8,7,6,12,7,8,7,6,6,10
35400.0,9.8333,10,11,10,6,12,13,9,12,13,12,9,6,6,10,8,8,6,8,9,11
36000.0,10.0,10,10,11,6,12,13,9,11,11,11,9,5,6,9,7,9,6,8,7,12
36600.0,10.1667,11,10,12,5,11,12,8,13,11,13,8,6,6,11,8,6,6,7,6,12
37200.0,10.3333,11,10,11,4,11,11,8,11,13,14,9,7,6,14,9,6,6,9,7,10
37800.0,10.5,10,11,12,5,10,12,9,11,14,14,8,8,6,12,10,5,8,8,7,12
38400.0,10.6667,10,11,13,5,11,11,9,11,14,13,9,9,7,10,8,5,7,8,6,12
39000.0,10.8333,11,10,11,6,11,13,10,12,14,13,10,8,6,12,9,6,7,7,8,11
39600.0,11.0,12,12,13,6,12,13,8,11,13,12,8,9,8,13,8,6,7,7,6,10
40200.0,11.1667,11,10,13,6,11,11,8,12,13,10,7,10,8,11,8,6,7,7,7,10
40800.0,11.3333,10,11,12,5,11,12,7,11,12,11,7,7,9,11,7,6,6,6,8,12
41400.0,11.5,10,11,13,5,10,11,8,11,11,11,8,6,6,9,9,8,7,8,7,13
42000.0,11.6667,10,10,13,4,11,11,7,11,13,11,9,5,7,11,9,8,6,8,6,12
42600.0,11.8333,11,10,10,5,11,13,9,10,12,13,8,4,7,14,8,7,7,7,6,10
43200.0,12.0,10,10,13,6,9,13,8,10,10,13,9,8,6,12,9,7,7,7,6,12
43800.0,12.1667,11,11,11,6,10,10,10,11,12,11,10,10,7,9,7,8,9,7,7,12
44400.0,12.3333,10,11,11,7,11,12,9,11,13,12,11,7,7,10,6,8,7,8,6,11
45000.0,12.5,11,10,12,7,11,11,9,11,11,12,8,6,6,11,7,6,6,8,7,9
45600.0,12.6667,11,9,11,6,11,11,8,10,12,12,8,7,7,13,8,4,6,9,8,10
46200.0,12.8333,11,11,12,3,10,12,8,9,14,13,7,8,7,12,8,4,6,9,6,13
46800.0,13.0,10,11,12,4,9,13,9,11,13,12,8,7,7,10,9,5,6,8,6,13
47400.0,13.1667,10,10,11,5,11,13,9,11,14,11,10,6,6,12,8,8,9,8,6,11
48000.0,13.3333,10,10,11,6,11,14,9,10,13,12,9,7,7,14,7,10,9,9,7,9
48600.0,13.5,11,10,13,6,11,13,9,12,13,11,7,8,7,11,8,7,6,6,7,11
49200.0,13.6667,10,10,10,5,12,14,9,12,12,12,9,6,6,10,8,7,6,8,10,11
49800.0,13.8333,10,9,12,6,11,12,8,11,11,11,8,5,6,10,8,8,6,8,8,12
50400.0,14.0,11,10,12,5,11,11,8,11,11,12,10,6,7,11,8,8,5,7,6,12
51000.0,14.1667,11,10,11,4,11,13,8,11,12,14,9,7,6,14,9,6,6,9,6,10
51600.0,14.3333,11,11,12,6,10,12,9,11,11,14,8,9,5,12,9,6,8,8,6,12
52200.0,14.5,10,10,12,5,10,10,10,12,13,12,9,10,6,10,8,5,7,7,6,12
52800.0,14.6667,11,11,12,6,10,13,11,12,13,12,9,8,7,12,7,6,7,8,8,11
53400.0,14.8333,11,11,13,6,10,13,10,12,11,12,8,9,7,13,8,5,6,7,7,9
54000.0,15.0,11,10,13,5,11,11,9,12,12,11,7,9,9,11,7,5,7,8,7,10
54600.0,15.1667,10,11,12,5,11,12,7,10,12,12,8,7,9,10,8,6,6,8,7,14
55200.0,15.3333,10,11,13,4,10,12,8,11,11,11,8,6,7,9,9,6,7,6,7,13
55800.0,15.5,10,9,12,5,11,11,8,11,13,11,9,6,7,12,10,8,8,8,6,11
56400.0,15.6667,11,10,11,7,11,14,9,9,12,13,9,5,6,14,10,7,7,7,6,10
57000.0,15.8333,10,11,12,7,9,14,9,10,11,12,9,6,5,11,8,8,7,6,7,11
57600.0,16.0,11,11,10,6,10,12,9,11,12,12,10,7,6,9,7,9,7,9,7,12
58200.0,16.1667,10,11,11,7,11,12,9,12,11,12,11,6,7,11,6,9,7,8,7,10
58800.0,16.3333,11,10,12,7,10,11,8,11,11,12,8,6,6,11,7,5,6,8,6,10
59400.0,16.5,11,10,11,5,11,11,8,10,11,13,8,7,6,13,9,5,7,9,8,10
60000.0,16.6667,10,11,11,3,10,13,8,9,13,13,7,8,7,12,9,4,6,9,6,13
60600.0,16.8333,10,11,12,5,10,14,9,11,14,12,10,7,7,10,9,5,7,8,6,13
61200.0,17.0,11,10,11,6,11,14,9,11,14,11,10,8,6,12,9,7,7,8,6,11
61800.0,17.1667,11,11,11,6,11,14,8,11,13,11,8,9,7,14,7,8,8,7,6,10
62400.0,17.3333,10,10,13,6,11,13,9,12,13,10,7,9,8,11,8,7,8,6,8,11
63000.0,17.5,10,11,10,5,12,12,8,12,12,11,8,7,6,10,8,7,7,7,10,11
63600.0,17.6667,9,10,12,6,11,12,8,12,11,12,8,4,6,10,9,8,6,8,8,13
64200.0,17.8333,11,10,12,4,11,11,7,11,12,13,10,5,7,13,8,8,5,7,7,12
64800.0,18.0,11,10,11,5,11,13,9,10,11,14,10,6,7,13,10,6,7,7,6,10
65400.0,18.1667,10,11,12,6,10,12,10,11,10,14,8,9,5,12,9,6,8,7,6,12
66000.0,18.3333,12,12,12,5,10,10,11,12,13,11,9,10,7,10,8,6,8,7,6,12
66600.0,18.5,10,11,11,6,11,12,10,11,13,12,9,8,7,11,6,6,7,8,7,11
67200.0,18.6667,10,10,13,6,12,13,9,12,11,12,8,9,7,12,8,5,5,8,6,9
67800.0,18.8333,11,10,12,5,11,11,8,11,12,12,6,8,9,11,8,4,6,9,6,9
68400.0,19.0,10,11,13,5,10,12,8,9,12,13,8,7,8,10,9,6,7,9,7,14
69000.0,19.1667,10,11,13,3,9,12,8,11,12,11,8,6,7,9,9,6,7,7,6,12
69600.0,19.3333,10,10,12,5,11,13,9,11,13,11,10,6,7,13,9,9,8,8,6,10
70200.0,19.5,10,10,12,7,11,14,9,9,13,13,9,5,6,14,9,9,7,8,6,9
70800.0,19.6667,11,11,12,7,10,13,9,11,11,12,8,6,5,11,8,8,7,6,7,10
71400.0,19.8333,10,11,10,6,11,13,9,12,12,12,9,7,6,9,7,9,7,8,8,11
72000.0,20.0,10,10,11,7,12,13,10,11,11,12,8,6,7,10,6,9,7,8,7,11
72600.0,20.1667,11,10,12,5,11,10,8,13,12,11,8,6,6,11,9,6,6,8,6,10
73200.0,20.3333,11,10,11,4,11,11,8,11,12,14,9,7,6,14,9,5,6,9,8,10
73800.0,20.5,10,11,12,5,11,12,9,10,12,14,7,8,6,12,9,4,7,8,7,13
74400.0,20.6667,10,11,12,5,11,12,10,11,14,13,10,8,7,10,9,5,7,8,7,12
75000.0,20.8333,11,10,11,6,11,14,10,12,14,12,10,8,6,12,9,6,7,8,7,12
75600.0,21.0,11,12,13,6,12,14,9,11,12,12,8,9,7,13,8,7,8,7,6,10
