n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
2701,77.05,71.86,0,14,7.06,1.256,64089.858,189.985,11.6,222.295,11.795,0.0,0.0
2701,77.93,71.86,0,14,7.02,1.285,571.576,10.271,15.616,11.098,16.172,600.0,0.1667
2701,77.93,69.38,0,14,7.01,1.266,3423.937,26.553,12.349,27.571,12.702,1200.0,0.3333
2701,77.93,69.79,0,15,7.04,1.255,9328.627,60.724,10.255,62.874,10.922,1800.0,0.5
2701,77.93,71.2,0,14,7.02,1.225,711.749,8.671,13.763,9.169,14.079,2400.0,0.6667
2701,77.49,70.46,0,14,6.96,1.259,1772.873,12.942,16.751,14.437,17.094,3000.0,0.8333
2701,77.42,71.2,0,14,7.07,1.24,775.802,6.946,16.736,7.598,17.085,3600.0,1.0
2701,77.64,70.49,0,14,7.06,1.236,1467.83,12.669,14.079,13.475,14.564,4200.0,1.1667
2701,78.38,67.97,0,14,6.97,1.295,2032.082,25.227,11.191,26.262,11.712,4800.0,1.3333
2701,78.16,69.79,0,14,7.01,1.231,3649.461,21.894,12.471,22.907,13.002,5400.0,1.5
2701,77.49,71.6,0,14,7.04,1.196,412.736,7.678,15.452,8.231,15.78,6000.0,1.6667
2701,77.49,70.71,0,14,6.99,1.261,1814.634,16.405,15.713,18.441,16.922,6600.0,1.8333
2701,77.49,71.38,0,14,7.03,1.254,430.875,7.708,11.709,8.25,11.914,7200.0,2.0
2701,77.93,70.09,0,14,7.04,1.228,1148.902,12.837,12.434,13.575,12.794,7800.0,2.1667
2701,78.16,67.86,0,14,6.97,1.297,1506.305,23.516,10.99,24.495,11.652,8400.0,2.3333
2701,77.93,70.05,0,14,6.99,1.303,1188.398,15.098,14.264,15.958,14.737,9000.0,2.5
2701,77.49,70.71,0,14,7.04,1.259,882.88,7.34,16.68,8.051,17.032,9600.0,2.6667
2701,77.27,70.49,0,14,7.02,1.196,1404.253,10.663,16.73,11.934,17.074,10200.0,2.8333
2701,77.93,70.46,0,14,6.97,1.238,807.782,10.214,13.927,10.754,14.267,10800.0,3.0
2701,77.93,69.57,0,14,7.08,1.262,3603.585,29.41,10.216,30.545,10.888,11400.0,3.1667
2701,77.93,70.05,0,14,7.02,1.249,2161.982,19.23,11.936,20.036,12.457,12000.0,3.3333
2701,77.86,70.94,0,14,6.96,1.271,632.308,10.607,15.646,11.509,16.227,12600.0,3.5
