station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,5
Zheleznogorsk,0.0,23.8333,1431.0,5
Khabarovsk,0.0,23.8333,1431.0,4
Murmansk,0.0,23.8333,1431.0,7
Novosibirsk,0.0,23.8333,1431.0,5
Vladivostok,0.0,23.8333,1431.0,3
Yakutsk,0.0,23.8333,1431.0,6
Minsk,0.0,23.8333,1431.0,4
Almaty,0.0,23.8333,1431.0,3
Urumqi,0.0,23.8333,1431.0,3
Delhi,0.0,17.6667,1061.0,4
Delhi,18.3333,23.8333,331.0,3
Yangon,0.0,0.5,31.0,1
Yangon,1.1667,4.6667,211.0,3
Yangon,5.1667,8.1667,181.0,3
Yangon,9.6667,12.5,171.0,3
Yangon,13.0,16.5,211.0,3
Yangon,17.3333,20.3333,181.0,3
Yangon,21.0,23.8333,171.0,3
Jakarta,0.6667,3.6667,181.0,3
Jakarta,5.0,7.3333,141.0,2
Jakarta,8.6667,11.6667,181.0,4
Jakarta,12.8333,15.1667,141.0,2
Jakarta,16.6667,19.5,171.0,3
Jakarta,20.6667,23.5,171.0,3
Tehran,0.0,23.8333,1431.0,3
Johannesburg,0.0,5.1667,311.0,3
Johannesburg,5.6667,12.8333,431.0,3
Johannesburg,13.3333,17.3333,241.0,4
Johannesburg,17.8333,23.8333,361.0,2
Nairobi,0.0,0.1667,11.0,2
Nairobi,1.6667,4.1667,151.0,3
Nairobi,5.5,8.1667,161.0,3
Nairobi,9.3333,12.1667,171.0,3
Nairobi,13.5,16.1667,161.0,3
Nairobi,17.3333,20.0,161.0,3
Nairobi,21.5,23.8333,141.0,3
Luanda,0.0,1.6667,101.0,2
Luanda,2.8333,6.0,191.0,4
Luanda,7.1667,9.3333,131.0,2
Luanda,10.8333,13.8333,181.0,4
Luanda,15.0,17.8333,171.0,4
Luanda,19.0,21.5,151.0,2
Luanda,22.6667,23.8333,71.0,2
Havana,0.0,0.8333,51.0,1
Havana,1.3333,4.1667,171.0,2
Havana,4.8333,8.6667,231.0,3
Havana,9.0,16.3333,441.0,3
Havana,16.8333,20.6667,231.0,3
Havana,21.1667,23.8333,161.0,2
Caracas,0.5,3.3333,171.0,3
Caracas,4.1667,7.0,171.0,3
Caracas,8.1667,11.3333,191.0,4
Caracas,12.6667,14.6667,121.0,2
Caracas,15.0,15.0,1.0,1
Caracas,16.0,19.1667,191.0,4
Caracas,20.3333,23.3333,181.0,3
Buenos_Aires,0.0,23.8333,1431.0,3
