n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
765,42.61,22.88,1,7,3.33,3.487,12089.694,161.418,82.077,165.891,85.257,0.0,0.0
765,43.01,21.7,1,7,3.34,3.19,49.4,8.85,24.552,9.277,25.336,600.0,0.1667
765,41.96,15.95,1,7,3.32,3.241,1024.358,28.011,38.865,29.056,40.796,1200.0,0.3333
765,43.4,9.02,1,7,3.32,2.627,188.423,15.596,61.44,16.47,64.793,1800.0,0.5
765,43.4,0.52,1,6,3.3,4.334,83.849,21.72,43.365,23.073,46.306,2400.0,0.6667
765,45.49,0.65,1,6,3.31,4.479,3205.709,104.391,395.717,108.951,398.876,3000.0,0.8333
765,45.23,0.78,1,6,3.3,4.533,356.336,41.87,136.997,44.164,141.948,3600.0,1.0
765,47.84,0.92,1,6,3.35,3.522,60.769,19.456,37.029,20.574,38.502,4200.0,1.1667
765,47.06,7.32,1,7,3.39,2.893,1908.851,43.534,165.166,45.616,173.515,4800.0,1.3333
765,45.75,12.29,1,6,3.39,3.356,171.998,13.478,32.831,14.078,34.528,5400.0,1.5
765,45.75,16.99,1,7,3.42,3.321,80.325,12.061,38.294,12.587,39.632,6000.0,1.6667
765,46.14,19.61,1,7,3.4,3.2,360.499,21.324,81.689,22.159,85.569,6600.0,1.8333
765,47.45,22.22,1,7,3.38,3.186,35.915,9.225,28.216,9.666,29.299,7200.0,2.0
765,47.32,16.08,1,7,3.36,3.287,112.949,13.215,66.334,13.913,69.813,7800.0,2.1667
765,48.1,6.54,1,7,3.34,2.636,105.29,15.237,49.524,16.17,52.16,8400.0,2.3333
765,48.5,0.52,1,6,3.33,4.509,144.737,23.275,43.347,24.883,46.585,9000.0,2.5
765,49.67,0.52,1,6,3.35,4.588,184.635,69.342,140.244,75.722,149.612,9600.0,2.6667
765,49.28,0.78,1,6,3.34,4.343,459.876,40.541,110.713,43.337,112.336,10200.0,2.8333
765,49.54,3.4,1,6,3.36,2.588,51.425,15.879,36.966,16.955,38.647,10800.0,3.0
765,48.37,12.94,1,7,3.37,3.191,4511.163,56.297,139.806,58.502,148.249,11400.0,3.1667
765,48.1,20.13,1,7,3.38,3.433,76.987,10.106,27.464,10.614,28.77,12000.0,3.3333
765,47.58,25.88,1,7,3.39,3.355,169.751,10.416,33.915,10.897,34.995,12600.0,3.5
765,46.27,19.87,1,7,3.41,3.147,5934.046,76.256,101.634,79.26,105.254,13200.0,3.6667
765,47.19,14.64,1,7,3.43,3.316,40.51,9.853,28.346,10.315,29.623,13800.0,3.8333
765,46.8,10.72,1,7,3.44,3.315,432.75,18.558,86.358,19.446,90.646,14400.0,4.0
765,47.97,3.79,1,6,3.43,2.648,69.94,17.867,48.956,18.802,50.678,15000.0,4.1667
765,46.93,1.44,1,6,3.36,4.342,555.922,37.242,56.116,39.286,57.213,15600.0,4.3333
765,45.62,0.52,1,6,3.34,4.53,27307.36,466.788,891.853,508.776,993.941,16200.0,4.5
765,43.14,0.52,1,6,3.3,4.497,1940.798,92.885,240.999,98.161,259.742,16800.0,4.6667
765,41.96,3.79,1,6,3.3,2.574,61.577,16.521,39.922,17.491,41.672,17400.0,4.8333
765,40.26,10.98,1,7,3.3,3.363,18172.006,80.965,74.533,85.519,77.761,18000.0,5.0
765,40.13,17.39,1,6,3.29,3.279,46.541,9.15,25.381,9.598,26.448,18600.0,5.1667
765,40.92,22.09,1,7,3.31,3.401,1557.248,19.184,45.508,20.033,46.968,19200.0,5.3333
765,41.44,22.88,1,7,3.32,3.476,635.562,13.783,40.532,14.391,41.829,19800.0,5.5
765,41.96,15.82,1,6,3.32,3.318,57.341,9.294,25.15,9.754,26.129,20400.0,5.6667
765,42.75,10.2,1,7,3.34,3.295,17818.382,91.406,141.629,94.948,148.522,21000.0,5.8333
765,45.49,3.27,1,6,3.36,2.661,56.401,17.73,39.939,18.753,41.369,21600.0,6.0
765,46.41,0.92,1,6,3.36,4.521,3158.495,108.157,311.079,114.121,330.541,22200.0,6.1667
765,47.32,0.52,1,6,3.4,4.515,4376.103,101.934,223.958,112.194,251.508,22800.0,6.3333
765,49.02,1.44,1,6,3.43,4.328,229.259,31.216,110.152,32.935,117.654,23400.0,6.5
765,48.76,4.31,1,6,3.47,2.67,85.781,17.379,54.98,18.308,57.422,24000.0,6.6667
765,45.62,12.16,1,7,3.44,3.361,144.225,13.433,56.349,14.09,59.078,24600.0,6.8333
765,46.41,16.08,1,7,3.41,3.284,35.683,9.155,28.884,9.597,30.157,25200.0,7.0
765,45.49,23.14,1,7,3.39,3.488,539.947,17.298,57.879,18.048,59.783,25800.0,7.1667
765,45.88,24.97,1,7,3.36,3.43,102.78,9.44,30.443,9.889,31.423,26400.0,7.3333
765,46.14,18.95,1,7,3.35,3.35,110.924,11.53,31.641,12.086,32.714,27000.0,7.5
765,45.36,11.63,1,7,3.35,2.988,3625.018,37.964,114.83,39.829,121.446,27600.0,7.6667
765,46.14,2.09,1,6,3.35,2.57,51.275,17.376,37.713,18.508,39.372,28200.0,7.8333
765,46.8,0.78,1,6,3.32,4.346,262.86,40.366,126.718,42.986,132.961,28800.0,8.0
765,46.8,0.52,1,6,3.32,4.917,281.32,55.121,123.589,59.301,131.014,29400.0,8.1667
765,47.45,0.39,1,6,3.31,4.511,104.9,22.0,42.397,23.428,45.702,30000.0,8.3333
765,46.93,6.14,1,7,3.34,2.659,131.094,17.188,63.797,18.142,67.065,30600.0,8.5
765,46.01,13.86,1,7,3.35,3.32,201.325,13.587,49.864,14.249,52.419,31200.0,8.6667
765,46.67,18.69,1,7,3.4,3.319,39.663,10.109,27.145,10.563,28.062,31800.0,8.8333
765,45.62,17.25,1,7,3.42,3.487,1147.522,32.586,107.173,33.772,111.258,32400.0,9.0
765,46.01,18.82,1,7,3.4,3.344,61.594,10.627,28.154,11.099,29.051,33000.0,9.1667
765,46.27,14.25,1,7,3.36,3.317,533.643,15.998,36.29,16.699,38.138,33600.0,9.3333
765,48.1,7.19,1,7,3.36,2.742,387.092,20.564,91.079,21.632,94.625,34200.0,9.5
765,48.1,0.52,1,6,3.33,4.353,70.867,19.382,36.752,20.644,38.668,34800.0,9.6667
765,47.45,0.65,1,6,3.31,4.54,57251.424,270.327,291.974,273.411,299.379,35400.0,9.8333
765,46.41,0.65,1,6,3.31,4.471,39935.635,225.144,337.821,228.448,342.738,36000.0,10.0
765,46.14,0.52,1,6,3.34,3.526,69.29,19.058,37.249,20.315,39.166,36600.0,10.1667
765,46.41,10.98,1,7,3.36,2.766,446.039,17.738,72.65,18.705,76.395,37200.0,10.3333
765,45.1,18.17,1,7,3.35,3.278,535.748,18.995,33.576,19.783,35.238,37800.0,10.5
765,46.27,24.84,1,7,3.37,3.381,60.937,8.761,26.008,9.186,26.773,38400.0,10.6667
765,46.14,24.31,1,7,3.39,3.488,855.795,19.198,70.723,19.942,73.344,39000.0,10.8333
765,46.67,17.78,1,7,3.41,3.287,40.204,9.046,26.002,9.478,26.851,39600.0,11.0
765,45.75,12.03,1,7,3.44,3.362,194.035,12.38,24.064,12.972,25.001,40200.0,11.1667
765,47.97,6.93,1,7,3.46,2.637,125.809,17.235,64.643,18.142,67.015,40800.0,11.3333
765,49.28,0.92,1,6,3.43,4.221,107.684,24.913,55.336,26.3,59.225,41400.0,11.5
765,48.37,0.92,1,6,3.41,4.856,269.831,53.683,126.915,57.095,135.007,42000.0,11.6667
765,47.32,0.78,1,6,3.38,4.642,266.882,47.16,140.124,49.581,146.269,42600.0,11.8333
765,45.36,1.57,1,6,3.36,3.521,50.225,19.239,41.921,20.356,44.043,43200.0,12.0
765,43.14,8.63,1,7,3.34,3.014,12228.088,64.997,132.715,68.146,138.541,43800.0,12.1667
765,42.22,14.12,1,7,3.32,3.367,99.239,10.313,26.376,10.82,27.647,44400.0,12.3333
765,41.05,22.22,1,7,3.32,3.132,100.501,10.036,32.679,10.489,33.496,45000.0,12.5
765,39.87,20.13,1,7,3.31,3.488,516.565,18.258,81.802,19.007,83.932,45600.0,12.6667
765,39.48,18.17,1,7,3.3,3.38,35.297,8.978,29.083,9.417,30.104,46200.0,12.8333
765,39.61,12.03,1,7,3.3,3.325,153.269,13.482,67.522,14.161,70.882,46800.0,13.0
765,41.31,5.23,1,6,3.31,2.648,83.62,15.831,46.736,16.736,48.455,47400.0,13.1667
765,43.79,0.92,1,6,3.31,4.394,232.232,33.383,113.956,35.321,121.617,48000.0,13.3333
765,45.49,0.78,1,6,3.34,4.584,6757.031,114.335,245.633,126.776,269.763,48600.0,13.5
765,47.32,1.05,1,6,3.36,4.454,4571.504,89.382,68.95,94.575,68.98,49200.0,13.6667
765,47.32,2.88,1,6,3.4,2.575,57.271,18.456,42.195,19.443,43.444,49800.0,13.8333
765,47.19,9.8,1,7,3.44,3.284,3849.571,55.033,243.924,57.472,251.021,50400.0,14.0
765,46.93,13.86,1,6,3.43,3.279,57.451,10.244,26.297,10.722,27.507,51000.0,14.1667
765,47.32,20.0,1,7,3.42,3.166,1556.645,25.939,44.252,27.324,45.769,51600.0,14.3333
765,47.32,26.01,1,7,3.39,3.333,1202.399,17.98,42.939,18.798,44.334,52200.0,14.5
765,48.76,22.22,1,7,3.37,3.392,46.495,9.212,26.902,9.684,27.994,52800.0,14.6667
765,47.84,14.9,1,7,3.37,3.245,2266.386,35.031,49.637,36.912,50.964,53400.0,14.8333
765,48.89,5.75,1,6,3.36,2.661,60.539,14.956,37.576,15.947,39.225,54000.0,15.0
765,49.28,0.65,1,6,3.35,4.563,2150.448,70.86,62.549,75.281,62.781,54600.0,15.1667
765,49.15,0.26,1,6,3.34,5.356,294620.739,2054.99,1286.989,2315.128,1429.199,55200.0,15.3333
765,49.41,0.78,1,6,3.34,4.276,527.954,34.282,56.524,36.53,58.002,55800.0,15.5
