time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
0.0,0.0,10,11,8,11,10,6,9,9,6,5,4,4,4,6,4,5,5,3,3,5
600.0,0.1667,9,8,7,11,9,6,13,10,7,6,5,6,4,7,6,5,4,5,4,3
1200.0,0.3333,9,10,6,13,9,5,12,8,5,6,6,4,4,5,5,4,3,6,4,5
1800.0,0.5,12,12,7,12,9,8,8,8,8,7,4,3,2,6,5,3,4,4,7,6
2400.0,0.6667,9,10,6,11,8,5,12,9,5,7,5,5,5,5,4,4,3,5,4,5
3000.0,0.8333,12,11,7,12,9,8,11,9,6,6,4,3,4,3,5,4,4,5,5,7
3600.0,1.0,10,8,8,11,10,6,12,10,6,7,4,4,5,5,5,4,4,5,6,5
4200.0,1.1667,9,10,5,12,9,5,13,9,6,6,4,4,8,4,4,3,4,4,4,5
4800.0,1.3333,11,11,10,11,9,6,8,9,6,6,4,4,4,5,6,3,6,4,4,6
5400.0,1.5,9,9,5,11,9,6,13,9,6,8,5,5,4,7,6,5,4,5,4,5
6000.0,1.6667,10,11,7,12,10,6,10,10,6,4,4,4,5,5,4,5,4,4,3,7
6600.0,1.8333,9,9,8,13,9,7,10,10,8,8,3,5,2,8,5,5,5,4,4,5
7200.0,2.0,10,8,6,13,12,5,13,8,4,6,6,5,4,5,5,6,3,5,3,6
7800.0,2.1667,10,11,8,12,9,7,8,9,7,6,5,3,4,6,4,5,4,4,4,5
8400.0,2.3333,8,8,8,12,9,6,13,10,6,6,4,6,4,6,4,4,3,4,4,3
9000.0,2.5,10,10,7,11,10,6,11,8,6,5,6,4,4,4,6,3,3,4,3,5
9600.0,2.6667,12,11,8,12,9,7,11,9,7,6,4,4,3,5,4,3,4,4,6,7
10200.0,2.8333,9,9,6,13,10,5,13,8,5,8,6,4,5,4,4,4,3,5,6,5
10800.0,3.0,12,10,8,12,9,8,8,10,6,5,4,2,4,5,5,4,5,4,4,8
11400.0,3.1667,9,9,8,12,10,6,12,9,7,8,5,5,5,5,5,4,4,6,6,5
12000.0,3.3333,9,12,5,11,9,6,13,9,6,5,5,5,6,5,4,3,4,4,4,7
12600.0,3.5,11,10,9,11,8,6,9,8,6,7,4,4,4,6,4,5,6,4,4,6
13200.0,3.6667,9,8,7,10,10,6,14,9,5,6,6,6,4,6,5,5,4,5,3,5
13800.0,3.8333,10,11,8,12,10,6,9,9,6,4,4,5,4,5,4,5,4,5,3,5
14400.0,4.0,10,9,7,12,9,8,12,10,8,8,5,5,3,8,5,5,5,4,4,4
15000.0,4.1667,9,10,6,13,10,5,12,9,4,6,6,4,4,5,4,4,3,6,4,5
