n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
765,43.66,31.63,0,5,3.13,2.32,68299.969,610.059,489.657,652.71,527.431,0.0,0.0
765,42.61,32.03,0,5,3.12,2.353,725.142,12.913,32.717,14.277,36.118,600.0,0.1667
765,42.09,32.29,0,5,3.1,2.53,10122.607,42.678,18.117,47.591,19.788,1200.0,0.3333
765,41.31,32.81,0,5,3.11,2.571,102.361,7.369,24.893,8.108,27.108,1800.0,0.5
765,41.7,32.94,0,5,3.1,2.637,48.335,6.434,26.025,7.045,27.888,2400.0,0.6667
765,42.22,32.42,0,5,3.08,2.509,35.202,6.008,18.675,6.57,19.797,3000.0,0.8333
765,42.09,27.58,0,5,3.07,2.125,25.788,6.131,16.55,6.712,17.389,3600.0,1.0
765,41.83,20.39,0,5,3.06,2.167,22.747,6.756,14.403,7.397,15.798,4200.0,1.1667
765,42.61,14.25,0,5,3.04,2.167,39.034,8.908,16.913,9.954,18.781,4800.0,1.3333
765,41.18,10.59,0,5,3.03,2.187,136.208,16.043,31.932,18.203,39.711,5400.0,1.5
765,41.57,10.59,0,5,3.04,2.229,12817.477,172.623,419.786,195.275,510.029,6000.0,1.6667
765,41.96,9.93,0,5,3.05,2.197,3184.174,40.95,64.863,48.666,79.113,6600.0,1.8333
765,42.35,11.63,0,5,3.06,2.172,45.274,10.406,18.382,11.661,22.054,7200.0,2.0
765,42.22,17.12,0,5,3.07,2.165,21.389,7.181,12.301,7.874,14.535,7800.0,2.1667
765,42.88,24.18,0,5,3.1,2.113,25.027,6.368,14.799,6.952,15.555,8400.0,2.3333
765,43.27,29.93,0,5,3.08,2.487,31.403,6.187,17.508,6.733,18.545,9000.0,2.5
765,43.01,31.9,0,5,3.09,2.598,46.502,6.504,23.709,7.08,25.588,9600.0,2.6667
765,42.09,33.07,0,5,3.11,2.718,99.889,7.68,31.347,8.376,33.961,10200.0,2.8333
765,41.7,32.29,0,5,3.11,2.762,320.407,12.577,44.863,13.893,49.135,10800.0,3.0
765,41.57,32.29,0,5,3.09,2.747,134237.965,446.272,59.906,506.194,67.674,11400.0,3.1667
765,40.92,30.85,0,5,3.1,2.74,2177.694,31.969,114.482,35.118,124.752,12000.0,3.3333
765,41.31,31.5,0,5,3.09,2.741,452.532,17.142,60.997,18.914,67.142,12600.0,3.5
765,41.18,31.76,0,5,3.09,2.75,1121.52,18.252,55.963,20.275,63.031,13200.0,3.6667
765,41.05,31.9,0,5,3.11,2.767,557.203,12.291,40.688,13.593,44.314,13800.0,3.8333
765,42.22,33.46,0,5,3.1,2.706,89.695,7.389,29.645,8.064,31.845,14400.0,4.0
765,42.88,32.55,0,5,3.08,2.534,36.667,6.095,19.102,6.636,20.403,15000.0,4.1667
765,43.4,29.67,0,5,3.08,2.439,29.407,6.201,17.414,6.753,18.398,15600.0,4.3333
765,42.75,22.22,0,5,3.08,2.137,24.155,6.524,14.169,7.129,14.867,16200.0,4.5
765,43.66,15.95,0,5,3.07,2.195,25.003,7.951,15.176,8.817,17.325,16800.0,4.6667
765,42.61,11.37,0,5,3.07,2.176,78.611,11.999,22.328,13.495,27.665,17400.0,4.8333
765,42.22,10.07,0,5,3.07,2.205,5489.887,66.46,164.152,78.031,200.779,18000.0,5.0
765,41.96,10.2,0,5,3.07,2.21,10842.487,109.283,253.726,129.647,310.242,18600.0,5.1667
765,42.09,11.24,0,5,3.06,2.18,82.386,12.994,24.683,14.648,30.905,19200.0,5.3333
765,43.14,14.64,0,5,3.05,2.201,28.619,8.237,15.354,9.166,17.639,19800.0,5.5
765,42.88,21.83,0,5,3.08,2.14,23.548,6.633,14.553,7.251,15.224,20400.0,5.6667
765,42.35,28.89,0,5,3.07,2.427,26.82,6.087,16.346,6.644,17.23,21000.0,5.8333
765,42.35,33.2,0,5,3.09,2.517,36.65,5.986,19.659,6.52,20.984,21600.0,6.0
765,41.44,33.2,0,5,3.09,2.691,58.326,6.955,28.725,7.594,31.592,22200.0,6.1667
765,40.78,31.9,0,5,3.1,2.769,437.28,10.467,39.464,11.563,42.948,22800.0,6.3333
765,42.09,32.16,0,5,3.1,2.741,3080.141,23.082,54.421,25.606,60.132,23400.0,6.5
765,41.83,31.5,0,5,3.1,2.304,533.106,15.332,53.518,16.996,61.27,24000.0,6.6667
765,42.22,30.98,0,5,3.11,2.337,3508.163,41.103,135.471,44.908,147.278,24600.0,6.8333
765,41.83,31.24,0,5,3.12,2.376,3388.293,21.137,26.382,23.428,28.36,25200.0,7.0
765,42.48,31.9,0,5,3.14,2.396,446.823,10.837,20.423,12.285,23.101,25800.0,7.1667
765,42.61,32.42,0,5,3.15,2.39,310.77,8.108,21.835,9.252,25.446,26400.0,7.3333
765,44.05,31.24,0,5,3.15,2.36,988.626,12.542,24.772,15.094,27.569,27000.0,7.5
765,43.79,28.37,0,5,3.12,2.302,385.548,8.623,19.943,10.008,22.906,27600.0,7.6667
765,45.49,22.48,0,5,3.15,2.186,848.993,10.065,19.353,11.762,21.955,28200.0,7.8333
765,44.71,16.6,1,5,3.13,2.122,128.694,8.356,16.713,9.402,20.334,28800.0,8.0
765,45.1,12.42,0,5,3.11,2.086,48.833,10.274,17.875,11.42,21.798,29400.0,8.1667
765,42.48,10.98,0,5,3.09,2.042,362.933,20.618,40.301,23.129,47.021,30000.0,8.3333
765,42.35,11.37,0,5,3.11,2.011,161889.48,786.077,1343.551,820.067,1501.223,30600.0,8.5
765,40.39,10.46,0,5,3.08,1.976,433.001,18.015,33.541,20.314,40.368,31200.0,8.6667
765,40.92,12.29,0,5,3.08,1.957,40.151,9.126,16.363,10.055,18.627,31800.0,8.8333
765,39.74,17.65,0,5,3.09,2.252,21.346,6.808,11.835,7.382,14.189,32400.0,9.0
765,40.39,23.79,0,5,3.1,2.425,26.006,6.348,14.276,6.871,15.021,33000.0,9.1667
765,39.87,27.97,0,5,3.09,2.309,43.704,6.179,13.427,6.682,14.273,33600.0,9.3333
765,40.65,29.41,1,5,3.11,2.328,57.101,6.602,18.349,7.173,19.996,34200.0,9.5
765,40.78,28.89,0,5,3.12,2.173,187.328,7.977,18.712,8.763,22.397,34800.0,9.6667
765,41.44,27.71,0,5,3.12,2.155,2130.33,17.747,36.706,20.023,45.826,35400.0,9.8333
765,41.31,28.1,0,5,3.11,2.296,1322.071,22.611,76.09,27.061,89.015,36000.0,10.0
765,41.05,26.67,0,5,3.1,2.369,30279.241,137.604,206.24,168.102,228.093,36600.0,10.1667
765,40.26,26.14,0,5,3.11,2.395,1975.1,31.128,79.877,36.657,90.406,37200.0,10.3333
765,39.87,26.27,0,5,3.1,2.31,1319.749,20.144,40.81,22.814,48.125,37800.0,10.5
765,39.08,27.06,0,5,3.08,2.331,2882.998,21.133,36.237,23.343,39.368,38400.0,10.6667
765,39.48,28.76,0,5,3.06,2.367,48.799,7.142,27.835,7.792,30.326,39000.0,10.8333
765,38.43,26.01,0,5,3.04,2.415,35.389,6.193,15.349,6.734,16.241,39600.0,11.0
765,38.04,22.88,0,5,3.03,2.464,24.886,6.157,11.477,6.688,11.876,40200.0,11.1667
765,37.12,17.39,0,5,3.02,2.243,100.516,7.365,12.745,7.958,13.342,40800.0,11.3333
765,37.12,14.12,0,5,3.0,2.169,135.799,10.897,17.452,11.75,18.969,41400.0,11.5
765,37.65,11.37,0,5,2.99,2.185,670.317,22.477,60.302,24.897,75.69,42000.0,11.6667
765,37.65,10.85,0,5,2.99,2.217,103125.829,502.993,370.176,602.734,411.618,42600.0,11.8333
765,37.65,10.98,0,5,2.99,2.267,7780.671,87.943,285.705,94.488,307.247,43200.0,12.0
765,38.17,11.5,0,5,3.0,2.376,567.44,27.934,152.816,30.24,157.226,43800.0,12.1667
765,38.3,13.86,0,5,3.01,2.585,8512.195,49.996,139.227,56.063,143.623,44400.0,12.3333
765,38.3,17.78,0,5,3.03,2.736,3650.353,38.306,174.539,41.714,180.434,45000.0,12.5
765,38.43,21.96,0,5,3.01,2.55,24378.261,150.695,627.613,157.115,649.458,45600.0,12.6667
765,38.43,23.27,0,5,3.04,2.34,1114.737,23.738,148.349,25.823,154.806,46200.0,12.8333
765,37.39,22.22,0,5,3.06,2.261,650.497,19.415,71.56,21.691,74.14,46800.0,13.0
765,37.65,21.57,0,5,3.07,2.288,372.959,11.792,37.502,13.033,38.666,47400.0,13.1667
