station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,5
Zheleznogorsk,0.0,23.8333,1431.0,5
Khabarovsk,0.0,23.8333,1431.0,4
Murmansk,0.0,23.8333,1431.0,7
Novosibirsk,0.0,23.8333,1431.0,5
Vladivostok,0.0,23.8333,1431.0,4
Yakutsk,0.0,23.8333,1431.0,6
Minsk,0.0,23.8333,1431.0,4
Almaty,0.0,23.8333,1431.0,4
Urumqi,0.0,23.8333,1431.0,4
Delhi,0.0,23.8333,1431.0,3
Yangon,0.0,23.8333,1431.0,3
Jakarta,0.0,1.5,91.0,3
Jakarta,2.1667,4.3333,131.0,2
Jakarta,4.6667,11.0,381.0,3
Jakarta,11.5,13.5,121.0,3
Jakarta,14.1667,16.3333,131.0,3
Jakarta,16.6667,17.8333,71.0,2
Jakarta,18.1667,20.5,141.0,3
Jakarta,20.8333,23.0,131.0,3
Jakarta,23.5,23.8333,21.0,2
Tehran,0.0,23.8333,1431.0,3
Johannesburg,0.0,14.0,841.0,3
Johannesburg,14.3333,23.8333,571.0,3
Nairobi,0.0,1.5,91.0,3
Nairobi,1.8333,3.8333,121.0,2
Nairobi,4.1667,6.3333,131.0,2
Nairobi,6.6667,8.5,111.0,3
Nairobi,9.0,11.0,121.0,2
Nairobi,11.5,13.3333,111.0,3
Nairobi,13.6667,15.8333,131.0,3
Nairobi,16.1667,18.1667,121.0,2
Nairobi,18.5,20.5,121.0,3
Nairobi,21.0,23.8333,171.0,2
Luanda,0.0,0.5,31.0,2
Luanda,1.0,3.0,121.0,2
Luanda,3.5,5.6667,131.0,4
Luanda,6.0,10.0,241.0,3
Luanda,10.3333,12.5,131.0,3
Luanda,13.0,15.0,121.0,2
Luanda,15.5,17.6667,131.0,3
Luanda,18.0,22.0,241.0,3
Luanda,22.5,23.8333,81.0,3
Havana,0.0,23.8333,1431.0,3
Caracas,0.0,3.5,211.0,3
Caracas,3.8333,6.0,131.0,2
Caracas,6.3333,8.5,131.0,3
Caracas,8.8333,15.5,401.0,3
Caracas,15.8333,18.0,131.0,2
Caracas,18.3333,20.5,131.0,3
Caracas,20.8333,22.3333,91.0,3
Caracas,22.6667,23.8333,71.0,2
Buenos_Aires,0.0,23.8333,1431.0,4
