time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
0.0,0.0,5,6,5,10,6,4,6,5,5,3,3,2,2,4,4,2,3,2,3,4
600.0,0.1667,4,4,4,7,6,4,9,5,4,4,3,2,2,4,2,2,2,4,3,2
1200.0,0.3333,7,6,4,10,4,5,6,5,4,2,2,3,2,2,3,2,3,3,2,4
1800.0,0.5,5,4,4,7,5,4,10,4,4,3,4,4,2,4,2,3,2,3,4,2
2400.0,0.6667,6,6,4,9,5,4,7,5,2,2,3,2,2,2,2,2,3,2,2,4
3000.0,0.8333,6,6,4,6,5,4,10,5,4,3,3,4,2,3,4,3,2,3,2,3
3600.0,1.0,5,6,4,10,5,3,7,5,3,4,3,2,2,2,3,2,3,2,3,3
4200.0,1.1667,5,6,4,5,5,3,8,5,3,4,3,4,2,3,4,3,3,2,2,4
4800.0,1.3333,6,5,4,10,6,3,6,6,3,4,3,2,3,4,2,2,2,3,2,3
5400.0,1.5,4,6,3,6,5,2,8,5,3,6,3,4,2,2,3,2,2,2,3,3
6000.0,1.6667,5,6,4,9,6,3,6,3,5,4,4,3,2,3,2,2,2,2,2,5
6600.0,1.8333,4,4,3,7,6,2,8,5,4,6,2,3,2,5,3,3,2,3,3,2
7200.0,2.0,5,6,5,10,5,4,6,5,4,4,4,2,2,4,4,2,3,2,2,4
7800.0,2.1667,5,4,3,7,6,4,9,4,4,4,2,2,2,4,2,2,2,4,3,2
8400.0,2.3333,6,6,5,10,5,5,6,5,4,2,2,3,2,2,2,2,3,3,2,4
9000.0,2.5,6,4,5,7,4,4,10,4,5,4,4,2,2,4,2,3,2,3,3,2
9600.0,2.6667,6,6,3,10,5,4,6,5,2,2,3,2,2,2,2,3,3,2,2,5
10200.0,2.8333,7,6,5,5,4,4,9,4,4,4,4,3,2,3,2,3,2,3,1,3
10800.0,3.0,5,7,3,11,5,3,7,5,2,4,3,2,2,2,3,2,2,2,3,4
11400.0,3.1667,6,6,4,6,4,4,8,5,3,4,3,3,3,3,3,3,3,2,2,4
12000.0,3.3333,6,5,5,10,5,3,6,3,3,4,3,2,3,3,2,2,2,3,2,2
12600.0,3.5,5,6,4,6,6,3,8,4,3,5,3,4,2,4,2,2,2,2,3,3
13200.0,3.6667,6,5,4,9,5,3,6,3,4,4,4,3,3,3,2,2,3,2,2,5
13800.0,3.8333,5,4,4,7,6,3,8,5,2,5,3,3,2,3,3,3,2,3,3,2
14400.0,4.0,5,5,4,9,5,5,6,4,4,4,4,2,4,4,3,2,2,2,2,4
15000.0,4.1667,5,4,4,7,5,4,7,4,5,4,2,2,2,4,2,3,3,4,3,2
15600.0,4.3333,6,5,4,9,5,5,6,4,4,2,2,3,3,3,2,3,3,3,2,4
16200.0,4.5,6,4,5,7,4,4,7,4,5,4,3,2,2,4,2,3,3,3,3,2
16800.0,4.6667,6,5,3,9,5,4,6,4,3,2,3,2,2,2,2,3,2,3,2,4
17400.0,4.8333,6,6,5,8,4,5,6,4,3,4,3,3,2,4,2,3,3,3,1,3
18000.0,5.0,5,6,3,10,5,2,7,4,2,4,3,2,2,2,3,3,2,3,3,4
18600.0,5.1667,5,7,4,7,4,4,6,5,3,6,2,3,3,4,3,3,2,2,2,4
19200.0,5.3333,5,5,4,10,5,3,7,3,2,4,3,2,2,3,2,2,2,4,2,3
19800.0,5.5,6,7,4,7,5,3,7,5,3,5,3,4,2,4,3,3,2,2,3,3
20400.0,5.6667,6,6,3,8,5,3,7,5,4,4,4,3,4,4,2,2,3,2,2,2
21000.0,5.8333,5,4,4,7,5,3,7,6,3,4,3,3,2,2,4,2,3,3,3,3
21600.0,6.0,5,6,4,8,4,5,7,5,4,4,4,2,4,4,3,2,2,2,2,4
22200.0,6.1667,5,4,5,7,5,3,6,4,5,4,2,2,2,4,2,2,3,4,3,2
22800.0,6.3333,6,5,4,8,5,4,6,5,4,2,3,4,4,3,2,3,2,3,2,3
23400.0,6.5,6,5,5,7,4,5,6,4,5,4,3,2,2,4,2,3,3,3,2,2
24000.0,6.6667,6,6,3,8,6,4,7,5,4,2,2,3,3,2,4,3,2,3,2,4
24600.0,6.8333,6,6,5,8,4,5,6,4,4,5,3,2,2,4,2,3,3,3,2,3
25200.0,7.0,5,6,3,9,6,2,8,5,2,4,3,2,2,2,4,3,2,3,3,4
25800.0,7.1667,5,6,4,7,4,3,6,6,3,6,2,3,3,4,3,3,2,2,3,4
26400.0,7.3333,5,5,4,9,5,2,8,5,2,4,3,2,2,3,2,3,2,4,2,4
27000.0,7.5,6,7,4,7,5,3,6,5,3,5,3,4,2,4,3,3,2,2,3,3
27600.0,7.6667,4,5,3,8,3,2,8,5,4,4,4,3,4,4,2,2,3,3,2,2
28200.0,7.8333,6,5,4,7,6,3,6,5,4,3,3,2,2,2,4,2,3,2,3,3
28800.0,8.0,5,6,4,7,5,4,8,5,4,4,3,3,4,4,3,2,2,2,2,3
29400.0,8.1667,5,5,6,8,5,3,6,5,5,3,2,3,2,3,3,2,3,4,2,2
30000.0,8.3333,7,6,4,7,5,4,8,5,4,2,4,4,4,3,3,3,2,2,2,3
30600.0,8.5,6,5,6,8,4,5,7,5,5,3,3,2,2,4,2,3,3,3,2,2
31200.0,8.6667,6,6,3,7,5,4,10,5,4,2,3,3,4,2,4,3,2,3,2,4
