signal,terminal,elevation_deg,slant_range_km,eirp_dbw,fspl_db,atmo_db,rx_power_dbm,cn0_db_hz,sigma_pr_cm,margin_nav_db,viable
L1,Handheld,10,8638,24.0,175.1,1.5,-126.6,44.9,186.03,14.9,True
L1,Handheld,15,5796,24.0,171.7,1.5,-123.1,48.4,124.81,18.4,True
L1,Handheld,20,4386,24.0,169.2,1.5,-120.7,50.8,94.45,20.8,True
L1,Handheld,25,3549,24.0,167.4,1.5,-118.9,52.6,76.44,22.6,True
L1,Handheld,30,3000,24.0,165.9,1.5,-117.4,54.1,64.61,24.1,True
L1,Handheld,35,2615,24.0,164.7,1.5,-116.2,55.3,56.32,25.3,True
L1,Handheld,40,2334,24.0,163.8,1.5,-115.2,56.3,50.26,26.3,True
L1,Handheld,45,2121,24.0,162.9,1.5,-114.4,57.1,45.69,27.1,True
L1,Handheld,50,1958,24.0,162.2,1.5,-113.7,57.8,42.17,27.8,True
L1,Handheld,55,1831,24.0,161.7,1.5,-113.1,58.4,39.44,28.4,True
L1,Handheld,60,1732,24.0,161.2,1.5,-112.7,58.9,37.30,28.9,True
L1,Handheld,65,1655,24.0,160.8,1.5,-112.3,59.3,35.64,29.3,True
L1,Handheld,70,1596,24.0,160.5,1.5,-111.9,59.6,34.38,29.6,True
L1,Handheld,75,1553,24.0,160.2,1.5,-111.7,59.8,33.44,29.8,True
L1,Handheld,80,1523,24.0,160.1,1.5,-111.5,60.0,32.80,30.0,True
L1,Handheld,85,1506,24.0,160.0,1.5,-111.4,60.1,32.43,30.1,True
L1,Handheld,90,1500,24.0,159.9,1.5,-111.4,60.1,32.30,30.1,True
L1,Survey,10,8638,24.0,175.1,1.5,-119.1,55.2,57.09,25.2,True
L1,Survey,15,5796,24.0,171.7,1.5,-115.6,58.6,38.30,28.6,True
L1,Survey,20,4386,24.0,169.2,1.5,-113.2,61.1,28.98,31.1,True
L1,Survey,25,3549,24.0,167.4,1.5,-111.4,62.9,23.46,32.9,True
L1,Survey,30,3000,24.0,165.9,1.5,-109.9,64.4,19.83,34.4,True
L1,Survey,35,2615,24.0,164.7,1.5,-108.7,65.6,17.28,35.6,True
L1,Survey,40,2334,24.0,163.8,1.5,-107.7,66.5,15.42,36.5,True
L1,Survey,45,2121,24.0,162.9,1.5,-106.9,67.4,14.02,37.4,True
L1,Survey,50,1958,24.0,162.2,1.5,-106.2,68.1,12.94,38.1,True
L1,Survey,55,1831,24.0,161.7,1.5,-105.6,68.7,12.10,38.7,True
L1,Survey,60,1732,24.0,161.2,1.5,-105.2,69.1,11.45,39.1,True
L1,Survey,65,1655,24.0,160.8,1.5,-104.8,69.5,10.94,39.5,True
L1,Survey,70,1596,24.0,160.5,1.5,-104.4,69.8,10.55,39.8,True
L1,Survey,75,1553,24.0,160.2,1.5,-104.2,70.1,10.26,40.1,True
L1,Survey,80,1523,24.0,160.1,1.5,-104.0,70.3,10.07,40.3,True
L1,Survey,85,1506,24.0,160.0,1.5,-103.9,70.4,9.95,40.4,True
L1,Survey,90,1500,24.0,159.9,1.5,-103.9,70.4,9.91,40.4,True
L1,Maritime,10,8638,24.0,175.1,1.5,-120.6,52.2,80.09,22.2,True
L1,Maritime,15,5796,24.0,171.7,1.5,-117.1,55.7,53.73,25.7,True
L1,Maritime,20,4386,24.0,169.2,1.5,-114.7,58.1,40.66,28.1,True
L1,Maritime,25,3549,24.0,167.4,1.5,-112.9,60.0,32.91,30.0,True
L1,Maritime,30,3000,24.0,165.9,1.5,-111.4,61.4,27.81,31.4,True
L1,Maritime,35,2615,24.0,164.7,1.5,-110.2,62.6,24.25,32.6,True
L1,Maritime,40,2334,24.0,163.8,1.5,-109.2,63.6,21.64,33.6,True
L1,Maritime,45,2121,24.0,162.9,1.5,-108.4,64.4,19.67,34.4,True
L1,Maritime,50,1958,24.0,162.2,1.5,-107.7,65.1,18.15,35.1,True
L1,Maritime,55,1831,24.0,161.7,1.5,-107.1,65.7,16.98,35.7,True
L1,Maritime,60,1732,24.0,161.2,1.5,-106.7,66.2,16.06,36.2,True
L1,Maritime,65,1655,24.0,160.8,1.5,-106.3,66.6,15.34,36.6,True
L1,Maritime,70,1596,24.0,160.5,1.5,-105.9,66.9,14.80,36.9,True
L1,Maritime,75,1553,24.0,160.2,1.5,-105.7,67.1,14.40,37.1,True
L1,Maritime,80,1523,24.0,160.1,1.5,-105.5,67.3,14.12,37.3,True
L1,Maritime,85,1506,24.0,160.0,1.5,-105.4,67.4,13.96,37.4,True
L1,Maritime,90,1500,24.0,159.9,1.5,-105.4,67.4,13.91,37.4,True
L1,Aviation,10,8638,24.0,175.1,1.5,-124.1,49.4,110.52,19.4,True
L1,Aviation,15,5796,24.0,171.7,1.5,-120.6,52.9,74.15,22.9,True
L1,Aviation,20,4386,24.0,169.2,1.5,-118.2,55.3,56.11,25.3,True
L1,Aviation,25,3549,24.0,167.4,1.5,-116.4,57.2,45.41,27.2,True
L1,Aviation,30,3000,24.0,165.9,1.5,-114.9,58.6,38.38,28.6,True
L1,Aviation,35,2615,24.0,164.7,1.5,-113.7,59.8,33.46,29.8,True
L1,Aviation,40,2334,24.0,163.8,1.5,-112.7,60.8,29.86,30.8,True
L1,Aviation,45,2121,24.0,162.9,1.5,-111.9,61.6,27.14,31.6,True
L1,Aviation,50,1958,24.0,162.2,1.5,-111.2,62.3,25.05,32.3,True
