holdover_h,eph_no_isl_m,eph_with_isl_m,uere_no_isl_m,uere_with_isl_m,cep_no_isl_m,cep_with_isl_m
0.0000,0.0500,0.0500,3.0598,3.0598,9.2973,9.2973
0.1000,0.1000,0.1000,3.0610,3.0610,9.3010,9.3010
0.2000,0.1500,0.1500,3.0631,3.0631,9.3072,9.3072
0.3000,0.2000,0.2000,3.0659,3.0659,9.3159,9.3159
0.4000,0.2500,0.2500,3.0696,3.0696,9.3270,9.3270
0.5000,0.3000,0.3000,3.0741,3.0741,9.3406,9.3406
0.6000,0.3500,0.3020,3.0794,3.0743,9.3567,9.3412
0.7000,0.4000,0.3040,3.0854,3.0745,9.3751,9.3418
0.8000,0.4500,0.3060,3.0923,3.0747,9.3960,9.3424
0.9000,0.5000,0.3080,3.1000,3.0749,9.4193,9.3430
1.0000,0.5500,0.3100,3.1085,3.0751,9.4450,9.3436
1.1000,0.6000,0.3120,3.1177,3.0753,9.4731,9.3442
1.2000,0.6500,0.3140,3.1277,3.0755,9.5035,9.3449
1.3000,0.7000,0.3160,3.1385,3.0757,9.5362,9.3455
1.4000,0.7500,0.3180,3.1500,3.0759,9.5713,9.3461
1.5000,0.8000,0.3200,3.1623,3.0761,9.6086,9.3467
1.6000,0.8500,0.3220,3.1753,3.0763,9.6481,9.3474
1.7000,0.9000,0.3240,3.1890,3.0765,9.6899,9.3480
1.8000,0.9500,0.3260,3.2035,3.0767,9.7339,9.3486
1.9000,1.0000,0.3280,3.2187,3.0769,9.7800,9.3493
2.0000,1.0500,0.3300,3.2346,3.0772,9.8283,9.3499
2.1000,1.1000,0.3320,3.2512,3.0774,9.8786,9.3506
2.2000,1.1500,0.3340,3.2684,3.0776,9.9311,9.3513
2.3000,1.2000,0.3360,3.2863,3.0778,9.9855,9.3519
2.4000,1.2500,0.3380,3.3049,3.0780,10.0420,9.3526
2.5000,1.3000,0.3400,3.3242,3.0782,10.1004,9.3533
2.6000,1.3500,0.3420,3.3440,3.0785,10.1608,9.3539
2.7000,1.4000,0.3440,3.3645,3.0787,10.2231,9.3546
2.8000,1.4500,0.3460,3.3856,3.0789,10.2872,9.3553
2.9000,1.5000,0.3480,3.4073,3.0791,10.3532,9.3560
3.0000,1.5500,0.3500,3.4297,3.0794,10.4210,9.3567
3.1000,1.6000,0.3520,3.4525,3.0796,10.4905,9.3573
