parameter,value,unit
n_satellites,180,
n_planes,12,
n_sats_per_plane,15,
altitude_km,1000.000,
inclination_deg,75.000,
orbital_period_min,105.119,
orbit_radius_km,7378.137,
d_inplane_km,3068.002,
d_crossplane_eq_km,3819.205,
horizon_range_km,3708.945,
max_isl_range_km,3708.945,
links_inplane_per_sat,2,
links_cross_per_sat,2,
links_per_sat,4,
total_isl_links,360,
obs_per_sat,4,
od_overdetermination,0.667,
isl_od_gdop,0.866,
od_accuracy_code_ranging,0.1299,m
avg_mcs_gap_h,77.88,h
max_mcs_gap_h,24.00,h
contacts_per_sat_day,0.3,
,,
threshold_m,holdover_no_isl_h,holdover_with_isl_h,gain_factor
0.5,0.90,10.5,11.7
1.0,1.90,35.5,18.7
2.0,3.90,85.5,21.9
5.0,9.90,235.5,23.8
10.0,19.90,485.5,24.4
