station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,0.0333,3.0,1
Vladimir,0.5167,0.65,9.0,1
Vladimir,1.0833,1.2667,12.0,1
Vladimir,1.6667,1.85,12.0,1
Vladimir,2.25,2.45,13.0,1
Vladimir,2.8333,3.0167,12.0,1
Vladimir,3.4333,3.6,11.0,1
Vladimir,4.0167,4.15,9.0,1
Vladimir,4.6167,4.7,6.0,1
Vladimir,12.4833,12.5667,6.0,1
Vladimir,13.0333,13.1667,9.0,1
Vladimir,13.6,13.7667,11.0,1
Vladimir,14.1667,14.35,12.0,1
Vladimir,14.7333,14.9333,13.0,1
Vladimir,15.3333,15.5167,12.0,1
Vladimir,15.9167,16.1,12.0,1
Vladimir,16.5333,16.6833,10.0,1
Vladimir,17.15,17.25,7.0,1
Vladimir,23.8167,23.9167,7.0,1
Zheleznogorsk,0.0,0.1,7.0,1
Zheleznogorsk,0.5167,0.65,9.0,1
Zheleznogorsk,1.1167,1.2,6.0,1
Zheleznogorsk,8.9833,9.0667,6.0,1
Zheleznogorsk,9.5333,9.6667,9.0,1
Zheleznogorsk,10.1,10.2667,11.0,1
Zheleznogorsk,10.6667,10.85,12.0,1
Zheleznogorsk,11.25,11.4333,12.0,1
Zheleznogorsk,11.8333,12.0167,12.0,1
Zheleznogorsk,12.4333,12.6,11.0,1
Zheleznogorsk,13.0333,13.1833,10.0,1
Zheleznogorsk,13.65,13.75,7.0,1
Zheleznogorsk,20.3333,20.4333,7.0,1
Zheleznogorsk,20.9,21.05,10.0,1
Zheleznogorsk,21.4833,21.65,11.0,1
Zheleznogorsk,22.0667,22.25,12.0,1
Zheleznogorsk,22.65,22.8333,12.0,1
Zheleznogorsk,23.2333,23.4167,12.0,1
Zheleznogorsk,23.8167,23.9833,11.0,1
Khabarovsk,6.6167,6.7,6.0,1
Khabarovsk,7.15,7.3,10.0,1
Khabarovsk,7.7167,7.9,12.0,1
Khabarovsk,8.3,8.4833,12.0,1
Khabarovsk,8.8833,9.0667,12.0,1
Khabarovsk,9.4833,9.65,11.0,1
Khabarovsk,10.0833,10.2167,9.0,1
Khabarovsk,10.7333,10.7667,3.0,1
Khabarovsk,18.05,18.1333,6.0,1
Khabarovsk,18.6167,18.7667,10.0,1
Khabarovsk,19.1833,19.3667,12.0,1
Khabarovsk,19.7667,19.9667,13.0,1
Khabarovsk,20.35,20.5333,12.0,1
Khabarovsk,20.9333,21.1167,12.0,1
Khabarovsk,21.5333,21.6667,9.0,1
Khabarovsk,22.1667,22.1833,2.0,1
