time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk
0.0,0.0,1,2,1
300.0,0.0833,1,0,2
600.0,0.1667,0,2,1
900.0,0.25,2,0,2
1200.0,0.3333,1,2,1
1500.0,0.4167,0,1,1
1800.0,0.5,1,0,1
2100.0,0.5833,0,2,1
2400.0,0.6667,1,0,2
2700.0,0.75,1,2,1
3000.0,0.8333,0,1,2
3300.0,0.9167,1,0,1
3600.0,1.0,1,1,1
3900.0,1.0833,0,1,2
4200.0,1.1667,2,1,0
4500.0,1.25,0,1,2
4800.0,1.3333,2,0,1
5100.0,1.4167,2,2,1
5400.0,1.5,0,2,2
5700.0,1.5833,2,0,0
6000.0,1.6667,0,2,1
6300.0,1.75,2,0,0
6600.0,1.8333,2,1,1
6900.0,1.9167,1,2,0
7200.0,2.0,2,0,0
7500.0,2.0833,0,2,1
7800.0,2.1667,2,0,0
8100.0,2.25,2,2,0
8400.0,2.3333,2,2,0
8700.0,2.4167,2,1,1
9000.0,2.5,0,2,0
9300.0,2.5833,2,0,1
9600.0,2.6667,2,2,0
9900.0,2.75,2,2,0
10200.0,2.8333,2,2,1
10500.0,2.9167,0,2,0
10800.0,3.0,2,0,2
11100.0,3.0833,0,2,1
11400.0,3.1667,2,2,1
11700.0,3.25,2,2,1
12000.0,3.3333,0,2,1
12300.0,3.4167,2,0,2
12600.0,3.5,0,2,1
12900.0,3.5833,2,1,2
13200.0,3.6667,1,2,1
13500.0,3.75,1,2,1
13800.0,3.8333,2,0,2
14100.0,3.9167,0,2,2
14400.0,4.0,2,0,2
14700.0,4.0833,1,2,1
15000.0,4.1667,0,2,1
15300.0,4.25,1,0,2
15600.0,4.3333,0,2,1
15900.0,4.4167,1,0,2
16200.0,4.5,1,2,1
16500.0,4.5833,0,1,1
16800.0,4.6667,2,0,2
17100.0,4.75,1,1,1
17400.0,4.8333,1,1,2
17700.0,4.9167,1,1,1
18000.0,5.0,0,1,1
18300.0,5.0833,1,0,1
18600.0,5.1667,2,1,1
18900.0,5.25,0,1,2
19200.0,5.3333,2,1,0
19500.0,5.4167,0,1,1
19800.0,5.5,2,0,1
20100.0,5.5833,2,1,1
20400.0,5.6667,0,2,2
20700.0,5.75,2,0,0
21000.0,5.8333,0,2,1
21300.0,5.9167,2,0,0
