n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
171,0.0,0.0,0,2,0.99,,,,,,,0.0,0.0
171,0.0,0.0,0,3,1.43,,,,,,,300.0,0.0833
171,0.0,0.0,0,2,1.04,,,,,,,600.0,0.1667
171,0.0,0.0,0,3,1.16,,,,,,,900.0,0.25
171,0.0,0.0,0,3,1.36,,,,,,,1200.0,0.3333
171,0.0,0.0,0,2,0.96,,,,,,,1500.0,0.4167
171,0.0,0.0,0,2,1.33,,,,,,,1800.0,0.5
171,0.0,0.0,0,2,1.2,,,,,,,2100.0,0.5833
171,0.0,0.0,0,3,0.96,,,,,,,2400.0,0.6667
171,0.0,0.0,0,3,1.56,,,,,,,2700.0,0.75
171,0.0,0.0,0,2,0.85,,,,,,,3000.0,0.8333
171,0.0,0.0,0,2,1.42,,,,,,,3300.0,0.9167
171,0.0,0.0,0,2,1.35,,,,,,,3600.0,1.0
171,0.0,0.0,0,2,0.84,,,,,,,3900.0,1.0833
171,0.0,0.0,0,3,1.78,,,,,,,4200.0,1.1667
171,0.0,0.0,0,2,0.64,,,,,,,4500.0,1.25
171,0.0,0.0,0,2,1.66,,,,,,,4800.0,1.3333
171,0.0,0.0,0,2,1.39,,,,,,,5100.0,1.4167
171,0.0,0.0,0,2,0.94,,,,,,,5400.0,1.5
171,0.0,0.0,1,3,1.93,,,,,,,5700.0,1.5833
171,0.0,0.0,0,2,0.48,,,,,,,6000.0,1.6667
171,0.0,0.0,0,3,1.92,,,,,,,6300.0,1.75
171,0.0,0.0,0,2,1.3,,,,,,,6600.0,1.8333
171,0.0,0.0,0,2,1.12,,,,,,,6900.0,1.9167
171,0.0,0.0,1,3,2.0,,,,,,,7200.0,2.0
171,0.0,0.0,0,2,0.48,,,,,,,7500.0,2.0833
171,0.0,0.0,1,3,2.04,,,,,,,7800.0,2.1667
171,0.0,0.0,0,2,1.14,,,,,,,8100.0,2.25
171,0.0,0.0,1,2,1.34,,,,,,,8400.0,2.3333
171,0.0,0.0,1,3,2.01,,,,,,,8700.0,2.4167
171,0.0,0.0,0,2,0.49,,,,,,,9000.0,2.5
171,0.0,0.0,1,3,2.01,,,,,,,9300.0,2.5833
171,0.0,0.0,0,2,0.93,,,,,,,9600.0,2.6667
171,0.0,0.0,0,2,1.47,,,,,,,9900.0,2.75
171,0.0,0.0,0,2,1.78,,,,,,,10200.0,2.8333
171,0.0,0.0,0,1,0.55,,,,,,,10500.0,2.9167
171,0.0,0.0,1,3,1.93,,,,,,,10800.0,3.0
171,0.0,0.0,0,2,0.78,,,,,,,11100.0,3.0833
171,0.0,0.0,0,2,1.5,,,,,,,11400.0,3.1667
171,0.0,0.0,0,2,1.53,,,,,,,11700.0,3.25
171,0.0,0.0,0,2,0.77,,,,,,,12000.0,3.3333
171,0.0,0.0,0,3,1.76,,,,,,,12300.0,3.4167
171,0.0,0.0,0,3,0.74,,,,,,,12600.0,3.5
171,0.0,0.0,0,2,1.38,,,,,,,12900.0,3.5833
171,0.0,0.0,0,2,1.31,,,,,,,13200.0,3.6667
171,0.0,0.0,0,2,0.92,,,,,,,13500.0,3.75
171,0.0,0.0,0,3,1.56,,,,,,,13800.0,3.8333
171,0.0,0.0,0,3,0.96,,,,,,,14100.0,3.9167
171,0.0,0.0,0,2,1.16,,,,,,,14400.0,4.0
171,0.0,0.0,0,2,1.3,,,,,,,14700.0,4.0833
171,0.0,0.0,0,2,0.98,,,,,,,15000.0,4.1667
171,0.0,0.0,0,3,1.33,,,,,,,15300.0,4.25
171,0.0,0.0,0,3,1.14,,,,,,,15600.0,4.3333
171,0.0,0.0,0,3,1.01,,,,,,,15900.0,4.4167
171,0.0,0.0,0,3,1.47,,,,,,,16200.0,4.5
171,0.0,0.0,0,2,0.98,,,,,,,16500.0,4.5833
171,0.0,0.0,0,2,1.26,,,,,,,16800.0,4.6667
171,0.0,0.0,0,2,1.31,,,,,,,17100.0,4.75
171,0.0,0.0,0,3,0.8,,,,,,,17400.0,4.8333
171,0.0,0.0,0,3,1.69,,,,,,,17700.0,4.9167
171,0.0,0.0,0,2,0.86,,,,,,,18000.0,5.0
171,0.0,0.0,0,2,1.38,,,,,,,18300.0,5.0833
171,0.0,0.0,0,2,1.5,,,,,,,18600.0,5.1667
171,0.0,0.0,0,2,0.7,,,,,,,18900.0,5.25
171,0.0,0.0,0,3,1.86,,,,,,,19200.0,5.3333
171,0.0,0.0,0,2,0.67,,,,,,,19500.0,5.4167
171,0.0,0.0,0,2,1.66,,,,,,,19800.0,5.5
171,0.0,0.0,0,2,1.57,,,,,,,20100.0,5.5833
171,0.0,0.0,0,2,0.84,,,,,,,20400.0,5.6667
171,0.0,0.0,1,3,2.01,,,,,,,20700.0,5.75
171,0.0,0.0,0,2,0.56,,,,,,,21000.0,5.8333
171,0.0,0.0,0,3,1.94,,,,,,,21300.0,5.9167
