time_h,sat_Vladimir,sat_Murmansk,sat_Novosibirsk,sat_Zheleznogorsk,sat_Khabarovsk,sat_Vladivostok,sat_Minsk,sat_Almaty,dist_km_Vladimir,dist_km_Murmansk,dist_km_Novosibirsk,dist_km_Zheleznogorsk,dist_km_Khabarovsk,dist_km_Vladivostok,dist_km_Minsk,dist_km_Almaty
0.0000,31,3,13,13,51,51,31,41,1138.60,1097.09,1650.72,1243.93,1589.37,1722.73,1353.43,1537.80
0.1667,30,2,12,12,50,50,30,3,1275.05,1011.38,1411.40,1090.17,1794.65,1828.49,1263.00,1623.79
0.3333,39,1,11,11,22,22,39,2,1469.58,1004.14,1216.51,1015.93,1752.73,1551.62,1243.85,1726.56
0.5000,38,0,10,10,21,21,38,1,1703.78,1075.25,1088.26,1035.50,1523.39,1299.26,1302.06,1880.37
0.6667,37,9,19,19,20,20,37,19,1964.47,1209.20,1048.93,1141.09,1342.14,1105.19,1430.57,2061.03
0.8333,9,8,18,18,29,29,36,18,2141.52,1386.19,1105.33,1309.19,1228.25,1001.20,1614.48,2137.54
1.0000,8,36,17,17,28,28,35,46,1889.44,1524.65,1241.79,1516.45,1198.42,1012.22,1838.59,2134.10
1.1667,7,35,16,16,27,27,7,54,1662.74,1332.81,1433.02,1746.44,1255.72,1131.60,2019.88,1957.29
1.3333,6,34,15,15,26,26,6,53,1471.90,1171.98,1657.68,1988.89,1386.45,1327.28,1738.06,1776.57
1.5000,5,33,14,14,63,25,5,52,1330.65,1058.99,1901.58,2237.49,1245.14,1567.97,1478.90,1639.01
1.6667,4,32,13,24,62,62,4,51,1253.62,1012.46,2155.96,2020.09,1116.20,1543.06,1255.23,1559.27
1.8333,3,31,51,23,61,61,3,13,1250.18,1043.46,2310.08,1745.36,1077.43,1386.57,1087.21,1464.43
2.0000,2,30,50,22,60,60,2,12,1318.19,1147.39,2052.26,1494.06,1141.29,1303.24,1000.66,1280.60
2.1667,49,10,59,21,69,69,1,11,1409.01,1068.98,1801.47,1279.00,1295.09,1310.17,1013.64,1174.40
2.3333,48,19,58,20,68,68,0,10,1508.47,1021.17,1564.34,1119.58,1513.34,1408.45,1119.63,1164.51
2.5000,47,18,57,29,39,67,9,19,1662.13,1054.99,1351.60,1039.47,1748.45,1582.93,1293.02,1250.19
2.6667,46,17,56,28,38,38,8,18,1858.00,1161.89,1180.27,1054.30,1479.67,1546.37,1507.97,1411.15
2.8333,45,16,55,27,37,37,7,17,2085.29,1322.78,1074.18,1157.71,1249.16,1336.86,1746.59,1622.25
3.0000,16,15,54,26,36,36,44,16,2079.33,1519.14,1056.67,1326.52,1079.63,1199.06,1890.55,1863.73
3.1667,15,44,53,25,35,35,43,53,1802.71,1478.23,1134.69,1536.83,999.71,1156.48,2065.25,1768.23
3.3333,14,43,52,24,34,34,14,52,1546.75,1317.45,1293.19,1771.51,1027.30,1216.44,2132.69,1680.15
3.5000,13,42,51,23,33,33,13,51,1322.31,1193.94,1508.52,2019.83,1151.44,1362.67,1852.79,1662.42
3.6667,12,41,50,61,70,32,12,50,1146.25,1122.64,1761.02,2242.75,1237.67,1568.47,1596.04,1719.18
3.8333,11,40,59,60,79,79,11,22,1040.99,1115.94,2037.58,1988.35,1079.24,1424.56,1374.56,1768.33
4.0000,10,49,21,69,78,78,10,21,1025.70,1176.93,2238.48,1740.57,1003.95,1214.94,1206.48,1487.48
