time_h,n_active_isls,isl_mean_dist_km
0.0000,180,4262.33
0.1667,180,4263.61
0.3333,180,4264.68
0.5000,180,4265.48
0.6667,180,4265.95
0.8333,180,4266.09
1.0000,180,4265.89
1.1667,180,4265.37
1.3333,180,4264.56
1.5000,180,4263.50
1.6667,180,4262.26
1.8333,180,4260.91
2.0000,180,4259.56
2.1667,180,4258.32
2.3333,180,4257.31
2.5000,180,4256.65
2.6667,180,4256.46
2.8333,180,4256.77
3.0000,180,4257.53
3.1667,180,4258.66
3.3333,180,4260.02
3.5000,180,4261.44
3.6667,180,4262.82
3.8333,180,4264.03
4.0000,180,4265.01
4.1667,180,4265.69
4.3333,180,4266.04
4.5000,180,4266.06
4.6667,180,4265.74
4.8333,180,4265.10
5.0000,180,4264.20
5.1667,180,4263.06
5.3333,180,4261.77
5.5000,180,4260.42
5.6667,180,4259.09
5.8333,180,4257.91
6.0000,180,4257.02
6.1667,180,4256.53
6.3333,180,4256.52
6.5000,180,4257.00
6.6667,180,4257.91
6.8333,180,4259.14
7.0000,180,4260.53
7.1667,180,4261.96
7.3333,180,4263.29
7.5000,180,4264.42
7.6667,180,4265.29
7.8333,180,4265.85
8.0000,180,4266.09
8.1667,180,4265.98
8.3333,180,4265.54
8.5000,180,4264.80
8.6667,180,4263.81
8.8333,180,4262.61
9.0000,180,4261.28
9.1667,180,4259.92
9.3333,180,4258.64
9.5000,180,4257.55
9.6667,180,4256.79
9.8333,180,4256.47
10.0000,180,4256.64
10.1667,180,4257.28
10.3333,180,4258.33
10.5000,180,4259.64
10.6667,180,4261.06
10.8333,180,4262.46
11.0000,180,4263.72
11.1667,180,4264.77
11.3333,180,4265.53
11.5000,180,4265.98
11.6667,180,4266.08
11.8333,180,4265.85
12.0000,180,4265.30
12.1667,180,4264.47
12.3333,180,4263.39
12.5000,180,4262.14
12.6667,180,4260.79
12.8333,180,4259.44
13.0000,180,4258.21
13.1667,180,4257.23
13.3333,180,4256.62
13.5000,180,4256.47
13.6667,180,4256.82
13.8333,180,4257.63
14.0000,180,4258.78
14.1667,180,4260.15
14.3333,180,4261.58
14.5000,180,4262.94
14.6667,180,4264.14
14.8333,180,4265.08
15.0000,180,4265.73
15.1667,180,4266.06
15.3333,180,4266.04
15.5000,180,4265.69
15.6667,180,4265.03
15.8333,180,4264.10
16.0000,180,4262.95
16.1667,180,4261.65
16.3333,180,4260.29
16.5000,180,4258.97
16.6667,180,4257.82
16.8333,180,4256.96
17.0000,180,4256.51
17.1667,180,4256.54
17.3333,180,4257.06
17.5000,180,4258.01
17.6667,180,4259.26
17.8333,180,4260.67
18.0000,180,4262.09
18.1667,180,4263.40
18.3333,180,4264.51
18.5000,180,4265.36
18.6667,180,4265.89
18.8333,180,4266.09
19.0000,180,4265.95
19.1667,180,4265.48
19.3333,180,4264.72
19.5000,180,4263.70
19.6667,180,4262.49
19.8333,180,4261.16
20.0000,180,4259.80
20.1667,180,4258.52
20.3333,180,4257.46
20.5000,180,4256.74
20.6667,180,4256.46
20.8333,180,4256.68
21.0000,180,4257.37
21.1667,180,4258.44
21.3333,180,4259.77
21.5000,180,4261.19
21.6667,180,4262.58
21.8333,180,4263.83
22.0000,180,4264.85
22.1667,180,4265.59
22.3333,180,4266.00
22.5000,180,4266.08
22.6667,180,4265.82
22.8333,180,4265.24
23.0000,180,4264.38
23.1667,180,4263.28
23.3333,180,4262.01
23.5000,180,4260.66
23.6667,180,4259.32
23.8333,180,4258.11
