pair,path_lifetime_mean_steps,path_change_count,path_change_rate_pct,latency_jitter_ms,hop_count_mean,timing_path_uncertainty_ns
Vladimir_to_Murmansk,1.4,100,69.9,1.027,1.0,1026920.8
Vladimir_to_Novosibirsk,6.5,21,14.7,0.415,1.2,414510.9
Vladimir_to_Zheleznogorsk,8.5,16,11.2,0.382,1.4,382344.4
Vladimir_to_Yakutsk,144.0,0,0.0,0.12,1.8,119567.9
Vladimir_to_Khabarovsk,1.3,110,76.9,1.13,2.3,1129529.2
Vladimir_to_Vladivostok,1.5,95,66.4,1.125,2.4,1124544.4
Vladimir_to_Minsk,1.7,83,58.0,0.709,0.8,708605.9
Vladimir_to_Almaty,5.8,24,16.8,0.442,1.3,442211.6
Vladimir_to_Tehran,2.0,70,49.0,0.907,1.2,906571.7
Murmansk_to_Novosibirsk,4.1,34,23.8,0.435,1.3,434670.0
Murmansk_to_Zheleznogorsk,72.0,1,0.7,0.289,1.4,289252.9
Murmansk_to_Yakutsk,144.0,0,0.0,0.057,1.6,57252.2
Murmansk_to_Khabarovsk,7.2,19,13.3,0.378,2.1,378391.9
Murmansk_to_Vladivostok,1.8,80,55.9,0.716,2.3,715551.9
Murmansk_to_Minsk,1.4,100,69.9,0.981,1.0,980724.5
Murmansk_to_Almaty,9.0,15,10.5,0.367,1.5,367206.5
Murmansk_to_Tehran,144.0,0,0.0,0.228,1.6,227790.0
Novosibirsk_to_Zheleznogorsk,1.9,75,52.4,0.789,0.8,789223.6
Novosibirsk_to_Yakutsk,2.4,58,40.6,0.573,1.3,573052.9
Novosibirsk_to_Khabarovsk,144.0,0,0.0,0.273,1.5,272567.1
Novosibirsk_to_Vladivostok,36.0,3,2.1,0.3,1.5,299584.3
Novosibirsk_to_Minsk,144.0,0,0.0,0.263,1.4,263047.7
Novosibirsk_to_Almaty,1.5,97,67.8,0.998,1.0,998394.9
Novosibirsk_to_Tehran,3.0,47,32.9,0.593,1.4,593415.6
Zheleznogorsk_to_Yakutsk,1.7,85,59.4,0.735,1.1,734846.9
Zheleznogorsk_to_Khabarovsk,7.2,19,13.3,0.368,1.3,368021.2
Zheleznogorsk_to_Vladivostok,6.3,22,15.4,0.444,1.3,443944.6
Zheleznogorsk_to_Minsk,36.0,3,2.1,0.261,1.6,261222.6
Zheleznogorsk_to_Almaty,2.4,60,42.0,0.776,1.0,776391.1
Zheleznogorsk_to_Tehran,12.0,11,7.7,0.381,1.6,380617.5
Yakutsk_to_Khabarovsk,3.1,45,31.5,0.573,0.9,573406.7
Yakutsk_to_Vladivostok,4.5,31,21.7,0.443,1.1,442645.5
Yakutsk_to_Minsk,5.8,24,16.8,0.495,2.1,495101.7
Yakutsk_to_Almaty,20.6,6,4.2,0.284,1.6,284364.1
Yakutsk_to_Tehran,2.1,68,47.6,1.068,2.3,1068209.8
Khabarovsk_to_Vladivostok,1.3,106,74.1,1.546,0.9,1546316.2
Khabarovsk_to_Minsk,3.3,43,30.1,0.597,2.7,597274.5
Khabarovsk_to_Almaty,7.2,19,13.3,0.433,1.7,432699.1
Khabarovsk_to_Tehran,3.3,42,29.4,0.907,2.7,906736.1
Vladivostok_to_Minsk,2.1,69,48.3,0.662,2.8,661667.6
Vladivostok_to_Almaty,1.9,74,51.7,0.817,1.8,816840.0
Vladivostok_to_Tehran,9.6,14,9.8,0.748,2.8,748341.0
Minsk_to_Almaty,28.8,4,2.8,0.303,1.5,302608.8
Minsk_to_Tehran,2.4,58,40.6,0.69,1.3,689764.5
Almaty_to_Tehran,4.4,32,22.4,0.722,1.2,722051.5
