time_h,n_active_isls,isl_mean_dist_km
0.0000,600,2322.62
0.1667,600,2322.35
0.3333,600,2322.15
0.5000,600,2322.12
0.6667,600,2322.26
0.8333,600,2322.52
1.0000,600,2322.79
1.1667,600,2323.00
1.3333,600,2323.08
1.5000,600,2323.02
1.6667,600,2322.84
1.8333,600,2322.57
2.0000,600,2322.30
2.1667,600,2322.13
2.3333,600,2322.13
2.5000,600,2322.30
2.6667,600,2322.57
2.8333,600,2322.84
3.0000,600,2323.02
3.1667,600,2323.08
3.3333,600,2323.00
3.5000,600,2322.79
3.6667,600,2322.52
3.8333,600,2322.26
4.0000,600,2322.12
4.1667,600,2322.15
4.3333,600,2322.34
4.5000,600,2322.62
4.6667,600,2322.88
4.8333,600,2323.05
5.0000,600,2323.08
5.1667,600,2322.97
5.3333,600,2322.75
5.5000,600,2322.47
5.6667,600,2322.22
5.8333,600,2322.11
6.0000,600,2322.17
6.1667,600,2322.39
6.3333,600,2322.67
6.5000,600,2322.92
6.6667,600,2323.06
6.8333,600,2323.07
7.0000,600,2322.94
7.1667,600,2322.70
7.3333,600,2322.42
7.5000,600,2322.19
7.6667,600,2322.11
7.8333,600,2322.20
8.0000,600,2322.44
8.1667,600,2322.72
8.3333,600,2322.95
8.5000,600,2323.07
8.6667,600,2323.05
8.8333,600,2322.90
9.0000,600,2322.65
9.1667,600,2322.37
9.3333,600,2322.16
9.5000,600,2322.11
9.6667,600,2322.24
9.8333,600,2322.49
10.0000,600,2322.77
10.1667,600,2322.98
10.3333,600,2323.08
10.5000,600,2323.04
10.6667,600,2322.86
10.8333,600,2322.60
11.0000,600,2322.32
11.1667,600,2322.14
11.3333,600,2322.12
11.5000,600,2322.28
11.6667,600,2322.54
11.8333,600,2322.82
12.0000,600,2323.01
12.1667,600,2323.08
12.3333,600,2323.01
12.5000,600,2322.82
12.6667,600,2322.54
12.8333,600,2322.28
13.0000,600,2322.12
13.1667,600,2322.14
13.3333,600,2322.32
13.5000,600,2322.59
13.6667,600,2322.86
13.8333,600,2323.04
14.0000,600,2323.08
14.1667,600,2322.98
14.3333,600,2322.77
14.5000,600,2322.49
14.6667,600,2322.24
14.8333,600,2322.11
15.0000,600,2322.16
15.1667,600,2322.37
15.3333,600,2322.65
15.5000,600,2322.90
15.6667,600,2323.05
15.8333,600,2323.07
16.0000,600,2322.95
16.1667,600,2322.72
16.3333,600,2322.44
16.5000,600,2322.21
16.6667,600,2322.11
16.8333,600,2322.19
17.0000,600,2322.42
17.1667,600,2322.70
17.3333,600,2322.94
17.5000,600,2323.07
17.6667,600,2323.06
17.8333,600,2322.92
18.0000,600,2322.67
18.1667,600,2322.39
18.3333,600,2322.18
18.5000,600,2322.11
18.6667,600,2322.22
18.8333,600,2322.47
19.0000,600,2322.75
19.1667,600,2322.97
19.3333,600,2323.08
19.5000,600,2323.05
19.6667,600,2322.88
19.8333,600,2322.62
20.0000,600,2322.35
20.1667,600,2322.15
20.3333,600,2322.12
20.5000,600,2322.26
20.6667,600,2322.52
20.8333,600,2322.79
21.0000,600,2323.00
21.1667,600,2323.08
21.3333,600,2323.02
21.5000,600,2322.84
21.6667,600,2322.57
21.8333,600,2322.30
22.0000,600,2322.13
22.1667,600,2322.13
22.3333,600,2322.30
22.5000,600,2322.57
22.6667,600,2322.84
22.8333,600,2323.02
23.0000,600,2323.08
23.1667,600,2323.00
23.3333,600,2322.79
23.5000,600,2322.52
23.6667,600,2322.26
23.8333,600,2322.12
