from,to,latency_mean_ms,latency_min_ms,latency_max_ms,availability_pct
Vladimir,Murmansk,9.11,8.5,10.5,100.0
Vladimir,Novosibirsk,11.92,11.56,12.92,100.0
Vladimir,Zheleznogorsk,13.52,13.28,14.16,100.0
Vladimir,Yakutsk,18.28,18.19,18.52,100.0
Vladimir,Khabarovsk,22.71,22.31,24.73,100.0
Vladimir,Vladivostok,23.85,23.2,25.77,100.0
Vladimir,Minsk,8.15,7.31,9.69,100.0
Vladimir,Almaty,12.87,12.46,13.75,100.0
Vladimir,Tehran,11.49,10.9,12.96,100.0
Vladimir,Urumqi,14.65,14.37,15.37,100.0
Vladimir,Delhi,16.69,16.43,17.41,100.0
Vladimir,Yangon,24.95,23.55,26.79,100.0
Vladimir,Jakarta,35.97,35.43,37.92,100.0
Vladimir,Luanda,29.83,28.74,31.83,100.0
Vladimir,Nairobi,25.04,23.56,27.18,100.0
Vladimir,Johannesburg,36.1,35.28,37.76,100.0
Vladimir,Havana,38.28,37.0,39.99,100.0
Vladimir,Caracas,40.59,38.63,42.34,100.0
Vladimir,Buenos_Aires,55.3,53.57,57.89,100.0
Murmansk,Novosibirsk,12.66,12.39,13.34,100.0
Murmansk,Zheleznogorsk,13.56,13.35,14.07,100.0
Murmansk,Yakutsk,16.01,15.96,16.15,100.0
Murmansk,Khabarovsk,20.86,20.75,21.49,100.0
Murmansk,Vladivostok,22.43,22.14,23.58,100.0
Murmansk,Minsk,9.54,9.02,10.83,100.0
Murmansk,Almaty,15.31,15.11,15.76,100.0
Murmansk,Tehran,15.57,15.34,16.12,100.0
Murmansk,Urumqi,16.39,16.22,16.82,100.0
Murmansk,Delhi,20.29,20.02,21.45,100.0
Murmansk,Yangon,27.99,27.43,29.7,100.0
Murmansk,Jakarta,38.76,37.79,40.25,100.0
Murmansk,Luanda,34.43,33.85,36.35,100.0
Murmansk,Nairobi,30.55,29.64,32.94,100.0
Murmansk,Johannesburg,42.1,40.12,43.45,100.0
Murmansk,Havana,33.2,31.97,34.17,100.0
Murmansk,Caracas,36.32,35.59,38.27,100.0
Murmansk,Buenos_Aires,52.86,51.94,54.5,100.0
Novosibirsk,Zheleznogorsk,7.92,7.08,9.72,100.0
Novosibirsk,Yakutsk,12.21,11.92,12.9,100.0
Novosibirsk,Khabarovsk,14.68,14.43,15.58,100.0
Novosibirsk,Vladivostok,15.14,14.87,16.01,100.0
Novosibirsk,Minsk,14.38,14.16,14.98,100.0
Novosibirsk,Almaty,9.15,8.26,10.53,100.0
Novosibirsk,Tehran,13.67,13.3,14.56,100.0
Novosibirsk,Urumqi,8.99,8.09,10.64,100.0
Novosibirsk,Delhi,12.9,12.5,13.65,100.0
Novosibirsk,Yangon,17.18,16.97,17.69,100.0
Novosibirsk,Jakarta,27.94,27.12,30.23,100.0
Novosibirsk,Luanda,38.31,36.78,40.8,100.0
Novosibirsk,Nairobi,29.76,28.61,31.82,100.0
Novosibirsk,Johannesburg,41.07,39.34,42.43,100.0
Novosibirsk,Havana,43.75,42.5,46.02,100.0
Novosibirsk,Caracas,47.2,46.02,48.62,100.0
Novosibirsk,Buenos_Aires,64.47,62.74,65.33,100.0
Zheleznogorsk,Yakutsk,10.52,10.13,11.46,100.0
Zheleznogorsk,Khabarovsk,12.7,12.34,13.94,100.0
Zheleznogorsk,Vladivostok,13.22,12.84,14.16,100.0
Zheleznogorsk,Minsk,16.1,15.94,16.41,100.0
Zheleznogorsk,Almaty,10.12,9.41,11.46,100.0
Zheleznogorsk,Tehran,15.68,15.4,16.37,100.0
Zheleznogorsk,Urumqi,9.28,8.45,11.0,100.0
Zheleznogorsk,Delhi,13.99,13.62,14.78,100.0
Zheleznogorsk,Yangon,17.15,16.96,17.62,100.0
Zheleznogorsk,Jakarta,27.55,26.86,29.41,100.0
Zheleznogorsk,Luanda,40.76,38.93,42.7,100.0
Zheleznogorsk,Nairobi,32.38,30.82,33.84,100.0
Zheleznogorsk,Johannesburg,43.67,42.94,45.85,100.0
Zheleznogorsk,Havana,44.51,43.51,46.86,100.0
Zheleznogorsk,Caracas,47.94,46.76,49.17,100.0
Zheleznogorsk,Buenos_Aires,65.37,64.1,67.27,100.0
Yakutsk,Khabarovsk,9.25,8.65,10.41,100.0
Yakutsk,Vladivostok,10.64,10.06,11.98,100.0
Yakutsk,Minsk,20.65,20.57,21.12,100.0
Yakutsk,Almaty,15.9,15.69,16.5,100.0
Yakutsk,Tehran,22.77,22.26,24.71,100.0
Yakutsk,Urumqi,14.08,13.8,14.83,100.0
Yakutsk,Delhi,20.32,20.01,22.45,100.0
Yakutsk,Yangon,21.73,21.18,23.68,100.0
Yakutsk,Jakarta,30.52,29.41,32.45,100.0
Yakutsk,Luanda,47.32,45.72,48.82,100.0
Yakutsk,Nairobi,39.85,39.18,41.04,100.0
Yakutsk,Johannesburg,51.1,49.88,53.53,100.0
Yakutsk,Havana,39.1,38.2,40.4,100.0
Yakutsk,Caracas,46.07,45.11,47.73,100.0
Yakutsk,Buenos_Aires,65.18,64.16,67.08,100.0
Khabarovsk,Vladivostok,8.2,7.01,10.63,100.0
Khabarovsk,Minsk,26.45,24.97,27.47,100.0
Khabarovsk,Almaty,17.36,17.17,17.91,100.0
Khabarovsk,Tehran,26.31,24.71,28.04,100.0
Khabarovsk,Urumqi,14.87,14.61,15.58,100.0
Khabarovsk,Delhi,20.55,20.18,23.27,100.0
Khabarovsk,Yangon,19.13,18.89,20.0,100.0
Khabarovsk,Jakarta,26.22,24.49,29.01,100.0
Khabarovsk,Luanda,51.12,48.27,53.53,100.0
Khabarovsk,Nairobi,41.61,40.62,44.33,100.0
Khabarovsk,Johannesburg,52.92,51.0,54.26,100.0
Khabarovsk,Havana,43.88,42.79,45.68,100.0
Khabarovsk,Caracas,50.72,49.74,52.59,100.0
Khabarovsk,Buenos_Aires,69.89,69.01,71.37,100.0
Vladivostok,Minsk,27.7,26.63,29.36,100.0
Vladivostok,Almaty,17.2,16.98,18.01,100.0
Vladivostok,Tehran,26.44,24.69,27.86,100.0
Vladivostok,Urumqi,14.59,14.28,15.29,100.0
Vladivostok,Delhi,19.6,19.32,20.46,100.0
Vladivostok,Yangon,17.5,17.19,18.57,100.0
Vladivostok,Jakarta,23.61,22.37,25.73,100.0
Vladivostok,Luanda,51.13,48.22,54.05,100.0
Vladivostok,Nairobi,40.79,39.73,44.02,100.0
Vladivostok,Johannesburg,52.02,50.31,53.91,100.0
Vladivostok,Havana,46.47,45.46,48.12,100.0
Vladivostok,Caracas,53.26,52.3,54.76,100.0
Vladivostok,Buenos_Aires,72.43,71.17,74.16,100.0
Minsk,Almaty,15.22,14.93,15.97,100.0
Minsk,Tehran,12.31,11.83,13.54,100.0
Minsk,Urumqi,17.24,17.05,17.88,100.0
Minsk,Delhi,18.83,18.59,19.89,100.0
Minsk,Yangon,28.14,27.04,29.81,100.0
Minsk,Jakarta,38.23,37.58,39.53,100.0
Minsk,Luanda,27.76,27.0,29.66,100.0
Minsk,Nairobi,24.14,22.9,26.18,100.0
Minsk,Johannesburg,35.13,34.68,37.01,100.0
Minsk,Havana,36.95,35.3,39.79,100.0
Minsk,Caracas,38.1,36.46,40.78,100.0
Minsk,Buenos_Aires,51.92,50.39,54.64,100.0
Almaty,Tehran,11.27,10.67,12.75,100.0
Almaty,Urumqi,8.43,7.3,10.34,100.0
Almaty,Delhi,9.6,8.82,10.99,100.0
Almaty,Yangon,14.42,13.98,15.47,100.0
Almaty,Jakarta,24.62,23.16,26.42,100.0
Almaty,Luanda,35.49,33.01,38.77,100.0
Almaty,Nairobi,25.33,23.48,27.77,100.0
Almaty,Johannesburg,36.72,35.65,38.75,100.0
Almaty,Havana,47.76,46.57,48.96,100.0
Almaty,Caracas,51.38,50.75,53.29,100.0
Almaty,Buenos_Aires,65.8,63.29,68.55,100.0
Tehran,Urumqi,13.63,13.23,14.6,100.0
Tehran,Delhi,11.9,11.26,13.39,100.0
Tehran,Yangon,18.96,18.61,20.93,100.0
Tehran,Jakarta,29.9,28.72,32.05,100.0
Tehran,Luanda,25.4,23.46,28.07,100.0
Tehran,Nairobi,17.45,16.91,18.83,100.0
Tehran,Johannesburg,28.54,27.61,31.19,100.0
Tehran,Havana,48.17,46.35,49.53,100.0
Tehran,Caracas,49.02,46.4,52.46,100.0
Tehran,Buenos_Aires,56.75,52.91,60.55,100.0
Urumqi,Delhi,10.26,9.55,11.52,100.0
Urumqi,Yangon,13.39,12.9,14.66,100.0
Urumqi,Jakarta,22.87,21.87,25.36,100.0
Urumqi,Luanda,38.55,36.71,41.3,100.0
Urumqi,Nairobi,28.63,27.79,30.91,100.0
Urumqi,Johannesburg,40.08,38.3,41.54,100.0
Urumqi,Havana,48.79,47.51,49.95,100.0
Urumqi,Caracas,52.25,51.48,54.01,100.0
Urumqi,Buenos_Aires,68.29,66.17,70.51,100.0
Delhi,Yangon,11.62,10.66,13.37,100.0
Delhi,Jakarta,19.48,18.97,21.49,100.0
Delhi,Luanda,32.39,30.45,36.05,100.0
Delhi,Nairobi,21.22,20.41,24.22,100.0
Delhi,Johannesburg,32.79,30.8,35.67,100.0
Delhi,Havana,53.34,52.15,54.35,100.0
Delhi,Caracas,56.18,55.08,58.19,100.0
Delhi,Buenos_Aires,62.97,60.02,67.28,100.0
Yangon,Jakarta,12.58,12.03,13.92,100.0
Yangon,Luanda,39.26,35.63,41.23,100.0
Yangon,Nairobi,27.7,26.38,30.6,100.0
Yangon,Johannesburg,37.24,33.15,41.84,100.0
Yangon,Havana,60.17,59.41,61.63,100.0
Yangon,Caracas,63.79,62.29,65.07,100.0
Yangon,Buenos_Aires,67.37,63.81,69.97,100.0
Jakarta,Luanda,40.82,39.91,43.04,100.0
Jakarta,Nairobi,30.88,29.65,33.04,100.0
