time_s,time_h,Vladimir,Murmansk,Novosibirsk,Zheleznogorsk,Yakutsk,Khabarovsk,Vladivostok,Minsk,Almaty,Tehran,Urumqi,Delhi,Yangon,Jakarta,Luanda,Nairobi,Johannesburg,Havana,Caracas,Buenos_Aires
0.0,0.0,15,22,14,16,22,12,12,14,9,9,12,9,7,7,7,7,8,9,7,9
600.0,0.1667,18,22,14,17,21,13,12,16,11,9,10,8,6,7,7,7,9,8,8,9
1200.0,0.3333,19,18,16,16,18,14,11,16,13,9,9,8,7,8,6,7,8,8,8,9
1800.0,0.5,17,17,16,17,17,13,9,17,10,10,9,9,8,6,8,6,6,7,8,9
2400.0,0.6667,16,17,16,16,17,12,9,14,11,8,8,9,8,7,8,6,7,7,8,10
3000.0,0.8333,16,18,16,16,17,12,8,15,10,9,9,8,8,7,8,8,7,6,8,10
3600.0,1.0,15,20,15,15,20,12,9,13,10,10,11,7,8,7,8,8,8,6,8,10
4200.0,1.1667,16,23,15,16,18,11,9,14,10,11,13,7,8,9,9,6,7,7,6,9
4800.0,1.3333,17,21,15,17,19,12,12,14,10,9,12,8,8,8,6,8,9,8,6,8
5400.0,1.5,18,18,16,17,19,11,11,14,10,9,11,7,7,7,6,7,9,7,5,8
6000.0,1.6667,19,18,18,17,16,11,12,16,11,9,11,7,6,6,7,7,8,9,6,9
6600.0,1.8333,17,20,17,17,16,11,12,17,10,10,10,8,7,7,7,6,9,8,7,9
7200.0,2.0,18,19,18,15,16,12,11,17,11,8,11,8,7,6,7,5,8,8,8,10
7800.0,2.1667,15,20,16,15,19,9,12,16,10,9,10,9,7,7,7,6,8,8,7,10
8400.0,2.3333,15,22,15,16,19,11,10,16,12,9,10,8,9,9,8,7,7,8,7,8
9000.0,2.5,18,22,14,18,19,12,9,16,12,10,11,8,8,8,9,7,8,7,6,7
9600.0,2.6667,18,20,16,19,19,12,9,16,11,10,10,9,8,7,8,8,8,8,5,8
10200.0,2.8333,19,19,15,18,17,12,9,15,9,9,10,8,9,7,8,6,8,8,5,10
10800.0,3.0,18,19,17,18,17,12,10,14,8,9,11,7,8,6,7,6,8,8,6,9
11400.0,3.1667,17,18,16,16,17,12,11,13,9,8,12,9,5,6,7,8,9,8,6,9
12000.0,3.3333,16,19,15,16,19,11,11,15,10,9,13,8,6,7,6,8,7,8,8,8
12600.0,3.5,16,22,14,17,21,11,12,14,10,9,11,8,6,8,7,7,7,9,8,10
13200.0,3.6667,16,21,14,15,22,12,11,15,12,10,9,8,8,8,8,7,6,8,8,8
13800.0,3.8333,16,19,16,19,18,12,10,15,11,9,8,8,7,6,8,8,6,7,8,8
14400.0,4.0,18,18,15,18,17,12,8,16,10,10,8,9,7,8,7,8,7,7,8,7
15000.0,4.1667,18,18,15,16,17,13,8,15,9,8,9,8,9,8,7,7,8,8,8,9
15600.0,4.3333,16,18,16,15,16,13,10,16,9,9,11,8,8,8,8,8,10,8,7,10
16200.0,4.5,14,19,16,14,20,12,11,13,9,10,12,8,8,8,7,7,8,8,7,9
16800.0,4.6667,15,22,15,16,22,12,12,14,9,8,12,7,8,6,7,8,8,8,7,9
17400.0,4.8333,16,21,15,18,21,13,12,15,11,7,11,7,5,7,7,8,8,8,7,8
18000.0,5.0,18,19,17,18,18,12,11,15,12,10,10,8,6,6,6,8,8,9,7,9
18600.0,5.1667,17,18,17,17,17,13,10,16,11,11,10,9,8,6,6,6,8,8,8,9
19200.0,5.3333,15,19,18,16,17,11,10,17,12,8,8,8,8,6,7,6,8,6,9,10
19800.0,5.5,16,18,17,14,17,11,9,17,11,8,9,7,8,7,8,8,8,5,8,10
20400.0,5.6667,15,21,15,16,19,11,9,16,12,8,10,7,9,8,8,7,8,6,7,9
21000.0,5.8333,17,22,14,17,18,11,10,14,11,10,12,7,8,9,7,6,8,7,8,9
21600.0,6.0,18,23,16,18,20,11,11,15,11,7,11,7,7,8,6,6,8,8,6,8
22200.0,6.1667,18,19,17,19,17,11,10,14,9,8,11,7,8,7,5,5,8,8,6,9
22800.0,6.3333,19,18,18,17,17,13,10,13,8,9,12,8,6,6,6,6,8,9,5,9
23400.0,6.5,18,19,18,17,17,11,11,16,10,9,11,8,6,7,5,6,10,8,5,8
24000.0,6.6667,17,19,17,14,18,11,10,15,11,8,11,8,6,6,5,5,8,8,8,9
24600.0,6.8333,15,19,16,15,21,11,13,16,11,9,10,9,8,6,9,6,7,9,7,11
25200.0,7.0,15,22,15,17,21,11,11,15,12,10,10,8,9,8,8,8,7,8,7,8
25800.0,7.1667,16,21,16,18,20,11,9,14,12,10,9,8,8,7,9,8,7,7,8,8
26400.0,7.3333,17,18,15,19,16,12,8,14,11,10,10,9,8,8,8,9,7,7,7,8
27000.0,7.5,18,18,15,18,16,12,8,15,9,9,10,9,9,8,8,6,7,8,6,10
27600.0,7.6667,17,17,15,17,17,12,10,14,8,9,11,8,7,7,6,7,10,8,7,11
28200.0,7.8333,16,17,16,15,18,12,12,14,8,9,12,8,6,6,7,8,9,8,6,8
28800.0,8.0,14,20,14,16,21,11,12,15,10,8,12,9,6,8,8,8,8,8,7,9
29400.0,8.1667,16,22,14,16,20,12,12,15,11,9,10,8,6,8,8,8,8,9,8,10
30000.0,8.3333,17,21,16,16,21,14,11,15,12,9,10,8,7,7,7,7,7,8,9,10
30600.0,8.5,16,18,16,17,18,11,10,15,12,9,8,9,7,6,7,7,7,7,8,9
31200.0,8.6667,16,19,17,17,17,11,9,16,11,9,8,9,8,7,8,7,8,8,7,9
31800.0,8.8333,16,18,15,16,17,13,8,18,10,8,10,9,9,7,8,8,9,6,8,9
32400.0,9.0,16,19,16,15,18,12,8,17,10,9,11,7,8,8,8,8,10,7,8,10
33000.0,9.1667,15,22,15,16,19,12,10,15,9,10,12,8,8,8,9,7,8,8,5,10
33600.0,9.3333,16,21,15,16,18,14,11,14,10,9,12,7,8,7,7,7,8,9,5,10
34200.0,9.5,17,20,16,17,19,13,11,14,10,8,10,8,7,6,5,7,8,8,6,8
34800.0,9.6667,17,19,18,16,18,12,12,16,11,10,11,7,6,7,7,7,8,9,7,8
35400.0,9.8333,16,19,17,16,18,11,12,15,10,10,10,8,7,8,6,7,10,8,8,8
36000.0,10.0,17,19,18,16,18,11,10,17,11,8,11,7,8,7,7,6,9,9,9,8
36600.0,10.1667,15,19,16,15,18,10,10,15,10,8,10,9,8,6,8,8,8,7,7,9
37200.0,10.3333,14,21,15,17,19,12,8,16,12,9,9,8,8,8,6,6,7,4,7,9
37800.0,10.5,17,22,14,17,18,12,10,15,13,10,12,8,7,8,8,6,8,7,7,9
38400.0,10.6667,18,21,16,18,18,13,11,15,11,10,10,9,8,7,7,7,8,7,6,8
39000.0,10.8333,19,19,17,17,18,12,11,16,9,9,11,8,10,7,6,6,8,8,7,9
39600.0,11.0,18,19,16,18,20,11,11,14,8,9,12,7,8,5,6,7,9,9,7,8
40200.0,11.1667,18,18,17,17,19,11,12,15,8,9,12,10,7,5,6,7,10,8,7,8
40800.0,11.3333,17,18,17,14,20,11,12,15,10,9,12,9,4,6,6,7,7,8,8,9
41400.0,11.5,15,21,16,14,21,11,12,14,11,9,12,9,7,5,9,6,7,8,8,10
42000.0,11.6667,16,22,15,16,20,11,10,14,12,10,10,8,8,7,8,7,7,8,8,10
42600.0,11.8333,15,19,16,17,18,13,11,14,12,9,10,8,8,7,8,8,8,6,8,9
43200.0,12.0,19,18,15,19,17,11,9,14,12,10,9,9,9,8,8,8,7,8,8,8
43800.0,12.1667,18,17,16,18,18,10,9,15,9,9,9,9,8,9,8,7,6,8,9,9
44400.0,12.3333,16,18,17,17,19,11,9,15,9,9,11,8,6,8,7,7,10,9,7,10
45000.0,12.5,14,19,17,15,20,11,10,14,8,9,11,7,6,6,7,7,9,8,7,9
45600.0,12.6667,14,22,16,15,19,13,11,15,8,8,11,8,5,7,8,8,8,8,6,10
46200.0,12.8333,16,21,16,16,18,13,11,15,10,9,10,7,5,8,7,8,8,8,6,8
46800.0,13.0,18,19,16,15,16,13,10,15,11,8,10,8,6,7,6,8,8,9,7,9
47400.0,13.1667,19,19,17,17,18,13,11,16,10,9,10,10,8,7,6,6,7,9,7,9
48000.0,13.3333,15,19,15,18,19,11,11,15,12,7,8,9,9,8,8,7,9,8,8,8
48600.0,13.5,15,18,17,18,19,10,8,17,11,8,8,7,8,7,8,8,10,7,8,9
49200.0,13.6667,16,19,16,16,19,12,8,15,10,9,10,7,8,8,8,8,9,6,8,10
49800.0,13.8333,17,22,15,15,18,13,10,15,10,10,11,7,8,8,9,7,8,7,6,10
50400.0,14.0,16,22,15,15,18,13,11,15,9,8,12,7,8,8,6,6,8,7,6,9
51000.0,14.1667,17,19,15,17,17,13,11,14,9,9,10,7,7,6,5,5,8,7,5,9
51600.0,14.3333,18,18,15,16,18,12,11,16,11,10,11,9,7,6,6,6,8,9,6,8
52200.0,14.5,18,18,15,18,19,11,12,17,10,11,10,9,7,7,5,7,9,9,7,9
52800.0,14.6667,17,17,19,16,20,11,11,15,12,9,9,8,7,7,5,6,7,7,8,9
53400.0,14.8333,14,18,17,15,21,10,10,15,12,9,8,8,8,6,7,7,8,7,7,9
54000.0,15.0,14,21,16,16,19,11,9,15,12,8,10,8,8,8,9,7,7,7,8,11
54600.0,15.1667,17,22,15,16,18,13,9,15,11,9,11,9,8,6,9,7,7,7,7,9
55200.0,15.3333,16,20,14,17,16,12,10,15,11,11,11,8,8,6,8,7,8,7,6,8
55800.0,15.5,18,19,16,18,17,10,10,15,11,10,11,8,9,7,8,6,7,8,6,10
56400.0,15.6667,19,17,16,17,17,11,11,14,10,9,12,7,8,5,7,7,7,9,8,9
57000.0,15.8333,18,17,16,17,19,11,11,14,8,8,12,8,6,6,8,8,9,8,7,8
57600.0,16.0,17,18,16,16,19,11,12,16,9,9,13,7,5,6,7,7,8,8,7,9
58200.0,16.1667,15,23,17,16,19,12,12,16,10,9,10,7,5,7,7,7,9,8,8,10
58800.0,16.3333,15,23,16,16,18,13,10,17,11,8,12,7,6,7,7,6,9,8,8,10
59400.0,16.5,15,20,16,17,16,12,11,16,10,9,10,9,6,8,7,7,8,7,8,9
60000.0,16.6667,16,19,16,18,19,11,11,15,11,11,8,9,7,8,7,7,8,8,8,8
60600.0,16.8333,18,19,14,18,19,11,8,14,11,9,9,8,9,8,9,6,8,7,8,8
61200.0,17.0,19,18,16,18,18,11,8,16,10,9,10,8,8,8,8,9,9,9,6,10
61800.0,17.1667,16,18,16,16,18,10,10,14,8,9,11,9,8,8,8,7,8,8,6,10
62400.0,17.3333,15,23,16,16,18,13,11,16,8,8,11,7,8,7,7,6,9,8,7,10
63000.0,17.5,15,23,17,16,18,13,12,15,10,8,11,9,4,7,7,8,9,8,6,8
63600.0,17.6667,16,21,17,15,17,13,11,15,12,10,11,8,6,7,6,8,7,9,7,8
64200.0,17.8333,17,20,17,15,20,12,10,15,10,10,11,10,8,8,7,6,7,9,8,9
64800.0,18.0,16,19,16,17,20,12,10,14,12,10,8,9,9,7,8,7,7,7,9,8
65400.0,18.1667,15,17,17,16,19,11,9,15,12,8,8,8,8,7,8,9,7,6,8,9
66000.0,18.3333,16,17,16,16,17,11,8,17,11,8,10,8,8,8,8,7,8,5,7,8
66600.0,18.5,16,20,15,15,16,12,9,15,10,9,11,7,8,8,7,7,8,7,7,9
67200.0,18.6667,16,23,15,15,17,13,10,16,9,9,12,7,8,8,7,6,9,7,6,9
67800.0,18.8333,16,21,15,16,20,12,11,15,9,9,11,8,9,7,6,6,8,8,6,8
68400.0,19.0,17,20,16,19,22,11,12,13,9,9,12,8,8,6,6,7,8,10,6,7
69000.0,19.1667,18,18,17,17,22,12,12,16,9,8,11,9,7,6,7,7,9,8,7,8
69600.0,19.3333,18,16,18,16,19,12,12,15,10,9,11,8,6,6,5,8,8,7,9,9
70200.0,19.5,17,17,17,16,18,13,11,15,11,9,9,8,8,5,7,6,6,7,8,10
70800.0,19.6667,15,20,15,15,18,12,10,15,12,8,9,8,8,6,8,6,7,7,8,10
71400.0,19.8333,16,21,15,15,17,11,8,16,11,9,10,9,8,7,8,7,7,7,8,10
72000.0,20.0,16,21,14,17,20,11,9,15,11,11,10,8,9,7,8,8,8,7,8,10
72600.0,20.1667,18,21,15,18,19,11,10,14,12,10,11,9,9,9,9,6,7,8,7,10
73200.0,20.3333,17,19,16,19,20,11,12,13,9,9,11,9,6,7,5,7,8,9,7,9
73800.0,20.5,18,17,17,18,18,11,11,14,8,8,11,8,6,6,6,7,9,8,7,8
74400.0,20.6667,17,18,17,16,16,12,11,16,9,8,13,8,5,7,7,7,8,8,5,9
75000.0,20.8333,16,21,15,17,17,11,12,15,11,9,11,7,5,8,7,7,9,8,6,8
75600.0,21.0,16,21,15,14,17,11,11,15,12,8,12,8,6,6,6,6,8,9,7,9
76200.0,21.1667,14,21,15,16,20,10,12,16,12,10,10,10,8,7,7,6,8,9,7,10
76800.0,21.3333,16,22,15,17,19,11,10,17,11,10,9,9,10,8,8,7,8,8,7,9
77400.0,21.5,18,20,15,18,20,11,9,17,10,8,8,7,9,8,9,9,9,7,7,8
78000.0,21.6667,16,17,17,17,18,12,9,17,10,8,10,7,8,8,8,9,8,6,7,8
78600.0,21.8333,16,18,15,17,17,12,9,15,8,9,10,8,9,7,8,8,8,7,5,10
79200.0,22.0,16,20,17,16,17,13,9,13,8,8,11,6,9,7,6,6,9,8,7,9
79800.0,22.1667,16,21,16,16,17,13,10,15,9,8,11,9,7,6,6,7,8,8,6,8
80400.0,22.3333,16,22,15,16,20,12,12,14,11,10,12,9,6,7,7,8,7,8,8,8
81000.0,22.5,16,23,16,16,21,12,12,15,10,10,10,9,6,8,7,8,8,9,8,10
81600.0,22.6667,17,19,15,15,22,13,10,16,12,10,10,8,8,7,8,7,7,8,8,9
82200.0,22.8333,17,16,16,19,18,12,9,16,11,8,8,8,7,6,8,7,7,8,8,8
82800.0,23.0,15,16,17,18,17,12,9,16,12,8,8,9,8,7,7,6,6,8,8,8
83400.0,23.1667,16,18,15,16,17,12,8,14,11,9,10,9,9,8,7,7,7,5,8,9
84000.0,23.3333,15,20,15,15,16,13,9,14,10,11,11,10,8,8,7,7,9,8,8,10
84600.0,23.5,15,21,16,14,19,12,11,13,9,11,12,8,8,8,6,6,8,7,7,9
85200.0,23.6667,17,22,15,16,22,12,12,14,9,9,12,7,8,6,6,8,8,9,7,9
85800.0,23.8333,18,20,16,18,21,13,12,15,10,8,11,8,8,6,7,8,8,8,7,8
