subsystem,mtbf_hours,r_7yr_pct,critical
CSAC (SA.45s),100000,54.16,True
space-Rb (Quantum-18),100000,54.16,True
Бортовой компьютер,300000,81.51,True
ADCS,100000,54.16,True
Ресивер L1/L5,150000,66.44,True
ISL трансивер,120000,59.99,False
Солнечная батарея,150000,66.44,False
АКБ (Li-Ion),50000,29.33,False
Двигатель (ХГ),500000,88.46,False
Терморегуляция,400000,85.79,False
Структура,1000000,94.05,False

metric,value
r_satellite_7yr,8.61%
constellation_r7yr_ge270,0.000%
plane_reliability_7yr,0.00%
spares_needed_95pct,300
