lat,lon,sdcm_factor,sdcm_zone,uere_autonomous_m,uere_combined_m,uere_sdcm_m,cep_autonomous_m,cep_combined_m,cep_sdcm_m
40.0,20.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,22.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,24.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,26.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,28.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,30.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,32.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,34.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,36.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,38.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,40.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,42.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,44.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,46.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,48.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,50.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,52.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,54.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,56.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,58.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,60.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,62.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,64.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,66.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,68.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
