=== MODULATIONS ===
modulation,gabor_mhz,ranging_noise_cm_40db,mp_peak_m,used_in
BPSK(1),0.591,114.25,73.263,"GPS L1 C/A, ГЛОНАСС L1OF"
BPSK(10),5.906,11.42,7.326,"GPS L5, Galileo E5a/b, BDS B2a"
"BOC(1,1)",1.181,57.12,73.263,"Galileo E1B/C, GLONASS L1OC, BDS B1C pilot"
"TMBOC(6,1,4/33)",6.166,10.94,3.779,"GPS L1C pilot, Galileo E1C (CBOC)"
"BOC(10,5)",10.648,6.34,0.209,GPS M-code (засекречен)
"AltBOC(15,10)",16.442,4.10,0.047,Galileo E5 (AltBOC)

=== CODES ===
code_family,length,family_size,c_max_norm_db,merit_factor,enough_for_300
"Gold (n=1023, GPS L1 C/A)",1023,1025,-23.9,6.3,True
Gold (n=8191),8191,8193,-36.1,6.3,True
"Weil (n=10223, GPS L1C)",10223,5111,-34.1,1703.8,True
"Memory (оптимиз., GPS L5)",10230,210,-40.4,12.5,False
"Расшир. Memory (≥350, АВРОРА L5)",10230,350,-39.4,11.0,True
Kasami Large (n=4095),4095,16777215,-30.0,5.5,True

=== NAV MESSAGE ===
format,rate_bps,fec,ttff_s,eph_update_min,auth
GPS L1 C/A (LNAV),50,Нет (паритет),60,120,Нет
GPS L5 (CNAV),50,"Свёрт. r=1/2, K=7",45,60,Нет
GPS L1C (CNAV-2),100,LDPC(1/2) + BCH,30,30,NMA (планируется)
Galileo E1 (INAV),250,"Свёрт. r=1/2, K=7",30,60,OSNMA (128-bit ECDSA)
Galileo E5a (FNAV),50,"Свёрт. r=1/2, K=7",30,60,Нет
АВРОРА L1 (ANAV — предл.),500,LDPC(1/2) + CRC32,5,10,TESLA MAC (128-bit HMAC-SHA256)

=== TESLA MAC ===
key_bits,128
update_interval_s,30.0
disclosure_delay_s,35.0
keys_per_day,2880.0
hash_fn,HMAC-SHA256
security_level_bits,64
overhead_bps,4.266666666666667
