level,clock,n_hops,sync_interval_s,osc_err_ns,isl_ns,relativistic_ns,total_ns
Cs (master),Cs (крейзер),0,0.0,0.005,0.000,0.000,0.005
"Rb (relay, 1 hop)",Rb (ретранслятор),1,60.0,0.232,1.101,0.200,1.143
"Rb (relay, 3 hops)",Rb (ретранслятор),3,60.0,0.232,1.833,0.200,1.859
"OCXO (terminal, 2 hops)",OCXO (терминал),2,10.0,0.316,1.515,0.200,1.561
"OCXO (terminal, 6 hops)",OCXO (терминал),6,10.0,0.316,2.552,0.200,2.579

user_type,sat_level,total_ns,viable_100ns
Геодезия (Survey),Cs (master),2.10,True
Геодезия (Survey),"Rb (relay, 1 hop)",2.39,True
Геодезия (Survey),"Rb (relay, 3 hops)",2.81,True
Геодезия (Survey),"OCXO (terminal, 2 hops)",2.62,True
Геодезия (Survey),"OCXO (terminal, 6 hops)",3.33,True
Ручной (Handheld),Cs (master),8.08,True
Ручной (Handheld),"Rb (relay, 1 hop)",8.16,True
Ручной (Handheld),"Rb (relay, 3 hops)",8.29,True
Ручной (Handheld),"OCXO (terminal, 2 hops)",8.23,True
Ручной (Handheld),"OCXO (terminal, 6 hops)",8.48,True
Телеком (Timing),Cs (master),1.54,True
Телеком (Timing),"Rb (relay, 1 hop)",1.92,True
Телеком (Timing),"Rb (relay, 3 hops)",2.41,True
Телеком (Timing),"OCXO (terminal, 2 hops)",2.19,True
Телеком (Timing),"OCXO (terminal, 6 hops)",3.00,True
