uere_mode,platform,uere_m,pdop,h_95_m,v_95_m,h_req_m,h_ok,doppler_hz
L1 (одночастотный),Авиация (эшелон),4.66,4.17,33.65,57.10,220.0,True,19978.8
L1 (одночастотный),Авиация (заход),4.74,6.00,49.28,83.64,40.0,False,19519.0
L1 (одночастотный),Судоходство (океан),4.87,2.35,19.86,33.70,10.0,False,19348.2
L1 (одночастотный),Судоходство (гавань),5.52,5.83,55.79,94.68,1.0,False,19327.2
L1 (одночастотный),Автомобиль (трасса),5.05,4.00,34.98,59.36,5.0,False,19400.8
L1 (одночастотный),Автомобиль (город),11.02,20.00,381.89,648.08,5.0,False,19348.2
L1+L5 (двухчастотный),Авиация (эшелон),1.33,4.17,9.58,16.25,220.0,True,19978.8
L1+L5 (двухчастотный),Авиация (заход),1.58,6.00,16.47,27.95,40.0,True,19519.0
L1+L5 (двухчастотный),Судоходство (океан),1.94,2.35,7.90,13.41,10.0,True,19348.2
L1+L5 (двухчастотный),Судоходство (гавань),3.24,5.83,32.76,55.60,1.0,False,19327.2
L1+L5 (двухчастотный),Автомобиль (трасса),2.35,4.00,16.27,27.60,5.0,False,19400.8
L1+L5 (двухчастотный),Автомобиль (город),10.08,20.00,349.09,592.42,5.0,False,19348.2
